Compound	Cluster	Classes	Common names	MetaCyc link
CPD-18508	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	hydroxysqualene	https://metacyc.org/compound?orgid=META&id=CPD-18508
CPD-1117	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	L-arabinonate	https://metacyc.org/compound?orgid=META&id=CPD-1117
CPD-1821	1	Compounds, All-Amines, Diamines, FRAMES, Aliphatic-Alpha-Omega-Diamines, Polyamines, Aliphatic-Diamines, Compounds-And-Elements, Chemicals, Aliphatic-Amines	sym-homospermidine	https://metacyc.org/compound?orgid=META&id=CPD-1821
TAURINE	1	Compounds, Compounds-And-Elements, FRAMES, Chemicals, SULFONATES, ORGANOSULFUR	taurine	https://metacyc.org/compound?orgid=META&id=TAURINE
DEOXYADENOSINE	1	Compounds, Organic-heterocyclic-compound, Nucleosides, Organic-heteromonocyclic-compounds, Compounds-And-Elements, Purine-Nucleosides, Nitrogen-Molecular-Entities, Organonitrogen-Compounds, Purine-Deoxyribonucleosides, FRAMES, Purines, All-Nucleosides, Organonitrogen-Heterocyclic-Compounds, Organic-heterobicyclic-compounds, Deoxy-Ribonucleosides, Chemicals, Organic-Heteropolycyclic-Compounds	2'-deoxyadenosine	https://metacyc.org/compound?orgid=META&id=DEOXYADENOSINE
CPD-12709	1	Compounds, FRAMES, All-Carboxy-Acids, Carboxylates, Organohalogen-Compounds, Compounds-And-Elements, Acids, Organic-Acids, Chemicals, Monocarboxylates, Fluorides	fluoroacetate	https://metacyc.org/compound?orgid=META&id=CPD-12709
CPD-10525	1	Compounds, FRAMES, Indoles, Aromatics, Compounds-And-Elements, Dyes, Chemicals	indigo	https://metacyc.org/compound?orgid=META&id=CPD-10525
CPD-612	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	acetylpyruvate	https://metacyc.org/compound?orgid=META&id=CPD-612
Cis-delta-3-decenoyl-ACPs	1	Proteins, FRAMES, CIS-ENOYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs	a (3Z)-dec-3-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Cis-delta-3-decenoyl-ACPs
2E-5Z-tetradeca-2-5-dienoyl-ACPs	1	Proteins, a-polyunsaturated-acyl-acp, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs	a (2E,5Z)-tetradeca-2,5-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=2E-5Z-tetradeca-2-5-dienoyl-ACPs
CPD-15127	1	Compounds, FRAMES, All-Carboxy-Acids, Carboxylates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals, Monocarboxylates	5-deoxy-D-glucuronate	https://metacyc.org/compound?orgid=META&id=CPD-15127
ADP-D-GLYCERO-D-MANNO-HEPTOSE	1	Carbohydrate-Derivatives, Compounds, Carbohydrates, NDP-sugars, FRAMES, All-Nucleosides, NUCLEOTIDE-SUGARS, All-Carbohydrates, ADP-SUGARS, Compounds-And-Elements, Modified-Nucleotides, Nucleotides, Chemicals, Glycans	ADP-D-glycero-&beta;-D-manno-heptose	https://metacyc.org/compound?orgid=META&id=ADP-D-GLYCERO-D-MANNO-HEPTOSE
CPD-1070	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	3-maleylpyruvate	https://metacyc.org/compound?orgid=META&id=CPD-1070
UDP-MANNACA	1	Carbohydrate-Derivatives, UDP-sugar, Pyrimidines, Carbohydrates, Diazines, NDP-sugars, Compounds, Organic-heterocyclic-compound, UDP-NAC-MANNOS, All-Carbohydrates, Organic-heteromonocyclic-compounds, Compounds-And-Elements, Modified-Nucleotides, Nitrogen-Molecular-Entities, Organonitrogen-Compounds, FRAMES, NUCLEOTIDE-SUGARS, All-Nucleosides, Organonitrogen-Heterocyclic-Compounds, Nucleotides, Chemicals, Glycans	UDP-N-acetyl-&alpha;-D-mannosaminuronate	https://metacyc.org/compound?orgid=META&id=UDP-MANNACA
CPD-627	1	Compounds, Thioesters, FRAMES, CPD-15844, Compounds-And-Elements, Esters, Chemicals, All-Coas	(3S)-citramalyl-CoA	https://metacyc.org/compound?orgid=META&id=CPD-627
Trans-D3-cis-D9-hexadecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, Di-unsaturated-acyl-ACPs, ACYL-ACP, Polypeptides, Chemicals, All-ACPs	a (2E,9Z)-hexadeca-2,9-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Trans-D3-cis-D9-hexadecenoyl-ACPs
5-OH-2-4-DIOXOPENTANOATE	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	5-hydroxy-2,4-dioxopentanoate	https://metacyc.org/compound?orgid=META&id=5-OH-2-4-DIOXOPENTANOATE
CPD-25028	1	D-Pentoses, Compounds, Aldopyranoses, Carbohydrates, Aldehydes-Or-Ketones, All-Carbohydrates, Compounds-And-Elements, Aldehydes, Sugar, D-aldopyranoses, D-Xylose, D-Xylopyranose, D-aldopentose, Aldopentoses, D-L-Xylose, Aldoses, FRAMES, D-Aldoses, Chemicals, Monosaccharides, Pentoses, Glycans	&alpha;-D-xylopyranose	https://metacyc.org/compound?orgid=META&id=CPD-25028
2-HYDROXYGLUTARYL-COA	1	Compounds, Compounds-And-Elements, Thioesters, Esters, FRAMES, Chemicals, All-Coas	(R)-2-hydroxyglutaryl-CoA	https://metacyc.org/compound?orgid=META&id=2-HYDROXYGLUTARYL-COA
FORMYL-COA	1	Compounds, Compounds-And-Elements, Thioesters, Esters, FRAMES, Chemicals, All-Coas	formyl-CoA	https://metacyc.org/compound?orgid=META&id=FORMYL-COA
CPD-15555	1	Hormones, Compounds, FRAMES, Indoles, Aromatics, Auxins, Compounds-And-Elements, Chemicals, Indole-Derivatives, Plant-Hormones	(2-hydroxy-1H-indol-3-yl)acetate	https://metacyc.org/compound?orgid=META&id=CPD-15555
CPD-594	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	3-guanidinopropanoate	https://metacyc.org/compound?orgid=META&id=CPD-594
DEOXYINOSINE	1	Compounds, Organic-heterocyclic-compound, Nucleosides, Organic-heteromonocyclic-compounds, Compounds-And-Elements, Purine-Nucleosides, Nitrogen-Molecular-Entities, Organonitrogen-Compounds, Purine-Deoxyribonucleosides, FRAMES, Purines, All-Nucleosides, Organonitrogen-Heterocyclic-Compounds, Organic-heterobicyclic-compounds, Deoxy-Ribonucleosides, Chemicals, Organic-Heteropolycyclic-Compounds	2'-deoxyinosine	https://metacyc.org/compound?orgid=META&id=DEOXYINOSINE
CPD-20826	1	Compounds, Organic-heterocyclic-compound, Organic-heteromonocyclic-compounds, Compounds-And-Elements, Nucleoside-Monophosphates, Ribonucleoside-Monophosphates, Nitrogen-Molecular-Entities, Organonitrogen-Compounds, FRAMES, Purine-ribonucleotides, Purines, All-Nucleosides, Organonitrogen-Heterocyclic-Compounds, Purine-Nucleotides, Ribonucleotides, Organic-heterobicyclic-compounds, Nucleotides, Chemicals, Purine-ribonucleosides-5-P, Organic-Heteropolycyclic-Compounds	adenine ribotide phosphate	https://metacyc.org/compound?orgid=META&id=CPD-20826
3-hydroxy-cis-D9-hexaecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, OH-ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (3R,9Z)-3-hydroxyhexadec-9-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-hydroxy-cis-D9-hexaecenoyl-ACPs
CPD-16020	1	Compounds, FRAMES, All-Nucleosides, modified-deoxyribonucleoside, Nucleosides, Compounds-And-Elements, Deoxy-Ribonucleosides, Chemicals	2-oxo-2'-deoxyadenosine	https://metacyc.org/compound?orgid=META&id=CPD-16020
ADP-L-GLYCERO-D-MANNO-HEPTOSE	1	Carbohydrate-Derivatives, Compounds, Carbohydrates, NDP-sugars, FRAMES, All-Nucleosides, NUCLEOTIDE-SUGARS, All-Carbohydrates, ADP-SUGARS, Compounds-And-Elements, Modified-Nucleotides, Nucleotides, Chemicals, Glycans	ADP-L-glycero-&beta;-D-manno-heptose	https://metacyc.org/compound?orgid=META&id=ADP-L-GLYCERO-D-MANNO-HEPTOSE
D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	1	Carbohydrate-Derivatives, Compounds, Carbohydrates, FRAMES, All-Carbohydrates, Compounds-And-Elements, Sugar-Phosphate, Chemicals, Glycans	D-glycero-D-manno-heptose 7-phosphate	https://metacyc.org/compound?orgid=META&id=D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE
CHLOROACETIC-ACID	1	Compounds, Haloacetates, Chlorides, FRAMES, Organohalogen-Compounds, Compounds-And-Elements, Chemicals	2-chloroacetate	https://metacyc.org/compound?orgid=META&id=CHLOROACETIC-ACID
S-2-INDOL-3-YLACETYL-COA	1	Compounds, Thioesters, FRAMES, ACYL-COA, Compounds-And-Elements, Esters, Chemicals, All-Coas	(indol-3 yl)acetyl-CoA	https://metacyc.org/compound?orgid=META&id=S-2-INDOL-3-YLACETYL-COA
2E-7Z-hexadeca-2-7-dienoyl-ACPs	1	Proteins, a-polyunsaturated-acyl-acp, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs	a (2E,7Z)-hexadeca-2,7-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=2E-7Z-hexadeca-2-7-dienoyl-ACPs
CPD-824	1	Compounds, FRAMES, All-Carboxy-Acids, Carboxylates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals, 2-Oxo-carboxylates, 2-Oxo-Acids	5-guanidino-2-oxopentanoate	https://metacyc.org/compound?orgid=META&id=CPD-824
CPD-12739	1	Compounds, All-Carboxy-Acids, All-Amino-Acids, D-Amino-Acids, CPD0-2079, Compounds-And-Elements, DL-3-HYDROXYASPARTATE, Acids, Organic-Acids, Hydroxy-D-Amino-Acids, FRAMES, Modified-Amino-Acids, Carboxylates, Hydroxy-Amino-Acids, Chemicals, Amino-Acids	(3S)-3-hydroxy-D-aspartate	https://metacyc.org/compound?orgid=META&id=CPD-12739
