	Chordaria_linearis	Porterinema_fluviatile
GUANOSINE-5DP-3DP	2	2
DCTP	2	2
CPD-14280	2	2
METHYL-MALONYL-COA	2	2
NITRITE	4	4
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	2	2
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	2	4
3-oxo-hexanoyl-ACPs	2	2
2-ACETO-2-HYDROXY-BUTYRATE	1	1
3R-7Z-3-hydroxy-hexadec-7-enoyl-ACPs	0	1
UTP	2	2
INDOLE_ACETATE_AUXIN	2	2
CPD-309	2	2
GUANOSINE	2	2
ALLANTOATE	1	0
CPD1G-332	2	2
CA+2	4	4
CPD-20263	2	0
Hexanoyl-ACPs	2	2
CPD-1134	0	1
MEVALONATE	2	2
PUTRESCINE	2	2
DUDP	2	2
CPD-253	2	0
CPD-7419	1	1
CPD1F-115	1	1
CPD-597	2	2
PALMITATE	2	2
UDP-N-ACETYL-D-GLUCOSAMINE	1	1
CPD-16459	4	4
NEUROSPORENE	1	1
CPD-12377	4	4
CPD-448	1	0
CPD-18508	0	1
SER	2	2
CPD-11763	4	4
GDP	2	2
CPD-1117	0	1
CPD-14277	2	2
L-RIBULOSE	0	3
CPD-346	0	3
HIS	1	1
1-PALMITOYLGLYCEROL-3-PHOSPHATE	2	2
CO3	4	4
URIDINE	2	2
5-AMINO-LEVULINATE	2	2
CPD-22009	2	2
CPD-24844	2	4
CPD-1821	0	1
CPD-334	2	2
GLUCONATE	1	0
D-TAGATURONATE	1	0
SULFATE	4	4
CPD-13118	2	2
MYO-INOSITOL	2	2
TAURINE	0	1
HS	4	4
DEOXYADENOSINE	0	1
FORMYL-THF-GLU-N	2	4
BETA-D-FRUCTOSE	1	3
3-oxo-dodecanoyl-ACPs	2	2
CGMP	2	2
CPD-12709	0	1
D-Galactopyranuronate	1	0
CPD-13910	2	2
H2CO3	4	4
CPD-14282	2	2
5-HYDROXYISOURATE	2	2
IDP	2	2
CPD-10525	0	1
R-3-Hydroxypalmitoyl-ACPs	2	2
CPD-7247	1	0
SHIKIMATE-5P	2	4
GTP	2	2
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	2	2
CHOCOLA_A	1	0
CPD-612	0	1
Ox-Thioredoxin	4	4
STEAROYL-COA	2	2
LI+	4	4
3-UREIDO-PROPIONATE	2	2
Cis-delta-3-decenoyl-ACPs	0	1
CPD-14931	2	1
ETOH	1	1
B-ALANINE	2	2
CPD-535	2	2
CPD-10280	2	2
8-Oxo-dGTP	2	2
Charged-GLT-tRNAs	2	2
CO+2	4	4
HYPOXANTHINE	0	3
RIBOSE-1P	2	4
CPD-12587	2	2
2-KETO-3-METHYL-VALERATE	1	1
2E-5Z-tetradeca-2-5-dienoyl-ACPs	0	1
CU+2	4	4
3-SULFINOALANINE	2	2
DIHYDROXYINDOLE	2	0
L-ARGININO-SUCCINATE	2	2
CPD-15127	0	1
3-CARBOXY-3-HYDROXY-ISOCAPROATE	2	2
CPD-389	1	1
R-3-hydroxy-cis-vaccenoyl-ACPs	1	1
CPD-14275	2	2
Acceptor	4	4
URACIL	2	2
ADP-D-GLYCERO-D-MANNO-HEPTOSE	0	1
L-LACTATE	1	3
CPD-1070	0	1
Red-Thioredoxin	4	4
CPD-14646	1	1
CPD-17070	2	2
MALONYL-COA	2	2
UDP-MANNACA	0	1
CPD-627	0	1
GLYCEROL	2	2
INDOLE-3-GLYCEROL-P	2	2
INDOLE_PYRUVATE	2	2
ACETYL-ETCETERA-GLUCOSAMINYLDIPHOSPHOUND	1	0
CPD-22011	2	2
CPD-22406	1	1
STEARIC_ACID	2	2
CPD-13469	1	0
Trans-D3-cis-D9-hexadecenoyl-ACPs	0	1
PROTON	4	4
CPD-25381	2	4
5-OH-2-4-DIOXOPENTANOATE	0	1
GDP-L-GALACTOSE	2	2
HYDROGEN-PEROXIDE	4	4
CPD-6972	2	2
CPD-10279	2	2
S-3-HYDROXYBUTANOYL-COA	2	2
CPD-18063	1	0
COPROPORPHYRINOGEN_III	2	2
UNDECAPRENYL-DIPHOSPHATE	2	2
CPD-671	2	2
CARBAMOYL-P	4	2
AMP	4	4
CPD-464	2	2
CPD-22017	2	2
CPD-15435	1	1
PHENYLACETALDEHYDE	2	2
CPD-22007	2	2
7-CYANO-7-DEAZAGUANINE	1	1
CPD-14278	2	2
OCTAPRENYL-DIPHOSPHATE	1	1
THYMIDINE	1	0
UDP-ACETYL-CARBOXYVINYL-GLUCOSAMINE	1	1
MO+2	4	4
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	2	4
CPD-17063	2	2
3-oxo-cis-vaccenoyl-ACPs	1	1
3-Oxo-octanoyl-ACPs	2	2
CPD-407	2	2
2-DEHYDRO-3-DEOXY-D-GALACTONATE	0	3
CPD-14283	2	2
CPD-22023	2	2
N-FORMIMINO-L-GLUTAMATE	1	0
CPD-13611	2	2
NICOTINAMIDE_NUCLEOTIDE	3	3
5-10-METHENYL-THF-GLU-N	2	4
CPD-25028	0	1
2E-11Z-icosa-2-11-dienoyl-ACPs	1	1
R-3-hydroxydodecanoyl-ACPs	2	2
L-ALLO-THREONINE	1	1
Pi	4	4
AGMATHINE	2	2
CPD-12249	1	0
GLYCERATE	1	1
2-HYDROXYGLUTARYL-COA	0	1
ACETALD	1	1
FORMYL-ISOGLUTAMINE	1	0
CPD-15317	2	4
CPD-3736	2	2
CPD-22003	2	2
GLT-tRNAs	4	4
PRO	2	2
INOSINE	2	4
CPD-24335	2	2
PAPS	4	2
RETINAL	1	0
FORMYL-COA	0	1
CPD-12366	2	2
CPD-15555	0	1
CPD0-1456	1	1
MPBQ	2	2
6-PYRUVOYL-5678-TETRAHYDROPTERIN	2	2
CPD-8052	1	1
CPD-187	2	4
ITP	2	2
L-ASPARTATE-SEMIALDEHYDE	2	2
ATP	4	4
2K-4CH3-PENTANOATE	2	2
PHENYL-PYRUVATE	2	2
FORMATE	2	4
TRP	2	2
CPD-594	0	1
CPD-11799	2	2
GLYCOLLATE	2	2
CPD-6124	1	1
ETHANOL-AMINE	2	2
L-DEHYDRO-ASCORBATE	2	2
CIT	2	2
4-MALEYL-ACETOACETATE	1	2
DUMP	2	2
COPROPORPHYRIN_III	2	2
SUC-COA	2	2
CPD-641	2	2
DEOXYINOSINE	0	1
CPD-20826	0	1
MANNOSE-1P	2	4
LIPID-IV-A	1	1
NOREPINEPHRINE	2	0
BISOHMYR-GLC	1	1
3-hydroxy-cis-D9-hexaecenoyl-ACPs	0	1
CPD-16020	0	1
CPD0-2056	2	2
ZN+2	4	4
DEAMIDO-NAD	4	4
IMIDAZOLE-ACETOL-P	2	2
D-GLT	1	1
PORPHOBILINOGEN	2	2
MANNITOL-1P	2	2
CPD-13462	1	1
10-FORMYL-DIHYDROFOLATE-GLU-N	2	1
CPD-9245	1	1
GLUTAMIDE	1	0
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	2	2
CPD-8259	4	4
DEOXYGUANOSINE	2	2
ADP-L-GLYCERO-D-MANNO-HEPTOSE	0	1
D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	0	1
DPG	2	4
NITRATE	4	4
L-DIHYDROXY-PHENYLALANINE	2	0
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	2	2
CHLOROACETIC-ACID	0	1
CPD-22402	1	0
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	2	2
3-Hydroxy-octanoyl-ACPs	2	2
SUCC-S-ALD	1	1
ILE	1	1
CARNOSINE	1	1
S-2-INDOL-3-YLACETYL-COA	0	1
3-HYDROXY-ANTHRANILATE	1	1
ACETYL-COA	2	2
D-ALANINE	1	1
N-ACETYL-L-24-DIAMINOBUTANOATE	1	1
2E-7Z-hexadeca-2-7-dienoyl-ACPs	0	1
CDP	2	2
VAL	2	2
CPD-19746	2	2
PHOSPHORIBOSYL-FORMIMINO-AICAR-P	2	2
CPD-19584	4	4
2-ACETO-LACTATE	2	4
Beta-3-hydroxybutyryl-ACPs	2	2
CDP-ETHANOLAMINE	2	2
CPD-14053	2	2
CPD-1828	2	2
Cytochromes-C-Oxidized	4	4
Decanoyl-ACPs	2	2
ISOGLUTAMINE	1	0
DGDP	2	2
CPD-254	1	0
CPD-824	0	1
G3P	2	4
CPD-7414	1	1
Ubiquinones	4	4
RB+	4	4
CPD-2961	1	0
CPD-10809	2	2
S2O3	4	4
L-GLUTAMATE-5-P	2	2
CPD-12739	0	1
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE	2	2
CPD-318	2	2
CPD-497	2	2
ACETYL-P	2	2
CPD-10819	1	0
4-AMINO-BUTYRATE	1	1
NIACINE	0	1
CPD-660	2	2
CYTIDINE	2	2
HOMOGENTISATE	2	2
CPD-19753	1	0
ARG	2	2
CPD-3633	1	0
ADENYLOSUCC	2	2
N-FORMYLKYNURENINE	2	2
CPD-7035	2	2
CPD-11444	2	2
CPD-622	1	1
PREPHENATE	2	2
CPD-9408	0	1
DODECANOATE	2	2
OXIDIZED-GLUTATHIONE	4	4
MAL	2	2
CPD-13612	2	2
CPD-9247	1	1
CPD0-2472	4	4
ALPHA-RIBAZOLE-5-P	0	1
CPD-16500	3	0
CPD0-2461	1	3
XANTHOSINE-5-PHOSPHATE	2	2
NMNH	2	4
3-oxo-cis-D7-tetradecenoyl-ACPs	0	1
2-OXOBUTANOATE	1	1
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	2	2
INDOXYL	0	1
CPD-5821	2	2
CPD-15709	2	4
NIACINAMIDE	1	1
CPD0-882	1	0
OROTATE	2	2
UMP	2	2
DELTA3-ISOPENTENYL-PP	2	2
4-IMIDAZOLONE-5-PROPIONATE	1	0
ACP	4	4
Crotonyl-ACPs	2	2
CPD-31	1	0
CPD1G-277	2	2
PANTOTHENATE	2	2
N2-SUCCINYLGLUTAMATE	1	0
5-OXOPROLINE	2	2
ACETOACETYL-COA	2	2
CPD-846	4	4
UDP-N-ACETYL-2-AMINO-D-GLUCURONATE	1	0
CPD-21340	2	2
CPD8J2-27	2	2
L-GLUTAMATE_GAMMA-SEMIALDEHYDE	2	2
CPD-15530	2	2
CPD-9387	1	1
L-ARABITOL	1	1
CPD-9610	2	2
2E-9Z-octadeca-2-9-dienoyl-ACPs	0	1
3S-CITRYL-COA	2	2
DGTP	2	2
DIHYDROXY-ACETONE-PHOSPHATE	2	4
CPD-15016	2	2
CPD-317	2	2
PROTOHEME	2	2
KYNURENATE	1	1
CPD-22005	2	2
DEOXY-RIBOSE-5P	1	1
OROTIDINE-5-PHOSPHATE	2	2
CPD-20647	1	1
PALMITALDEHYDE	2	2
4-OXALOMESACONATE	0	3
CPD-825	0	1
OXYGEN-MOLECULE	4	4
L-HISTIDINOL-P	2	2
D-SEDOHEPTULOSE-7-P	2	4
4-AMINO-BUTYRALDEHYDE	1	1
D-SERINE	2	2
DIMETHYLBENZIMIDAZOLE	0	1
GLYCEROL-3P	2	2
URATE	2	4
CPD-367	2	2
PYRUVATE	2	4
GDP-TP	2	2
AMMONIA	4	4
TDP	2	2
HYDROXYMUCONATE-SALD	0	1
ADP	4	4
CPD-469	2	2
APS	4	4
AICAR	2	2
DIACETYL	2	4
CPD-499	2	2
SUC	2	2
CPD-14281	2	2
CPD-22014	2	2
CPD-14736	1	1
CPD-22006	2	2
COPROPORPHYRINOGEN_I	2	2
D-GLUCOSAMINE-6-P	2	2
XANTHOSINE	2	4
THR	1	1
CHORISMATE	2	4
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	2	2
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE	2	2
CPD-19715	1	0
GLUCOSAMINE-1P	0	1
HSO3	4	4
CMP	2	2
N-ACETYL-GLUTAMYL-P	2	2
CPD-19757	0	1
CPD-10260	2	2
2-Hexadecenoyl-ACPs	2	2
GUANIDOACETIC_ACID	2	2
Trans-D2-cis-D7-tetradecenoyl-ACPs	0	1
4-AMINO-4-DEOXYCHORISMATE	2	2
CPD-341	2	2
3-hydroxy-cis-D7-tetraecenoyl-ACPs	0	1
RIBOSE-5P	2	4
CPD-10723	1	1
SULFOACETALDEHYDE	0	1
CPD-20261	2	0
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	1	0
UDP	2	2
R-3-hydroxymyristoyl-ACPs	2	2
CPD-8652	2	0
CPD-335	0	1
SO3	4	4
3-ENOLPYRUVYL-SHIKIMATE-5P	2	4
TYRAMINE	2	2
PPI	4	4
CPD-15586	1	0
4Z-9Z-Hexadec-4-9-dienoyl-acp	1	1
CPD1F-118	1	1
L-ORNITHINE	2	2
CPD-12658	2	2
CPD-13851	4	4
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	0	1
UREA	2	4
2-DEHYDROPANTOATE	2	4
CPD-9923	2	2
HYDROXYMETHYLBILANE	2	2
CPD-15633	1	0
CPD-649	2	2
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR	2	2
CPD-381	2	2
CPD-9924	2	2
THF	2	2
CPD-22272	2	2
CPD0-1643	0	1
L-DOPACHROME	2	0
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	1	0
CPD-10353	0	3
DGMP	2	2
R-2-HYDROXYGLUTARATE	2	2
b-Keto-cis-D5-dodecenoyl-ACPs	0	1
b-Hydroxy-cis-D5-dodecenoyl-ACPs	0	1
CPD-12247	1	0
METHYL-GLYOXAL	1	3
ECTOINE	0	1
PSEUDOURIDINE-5-P	2	2
UROPORPHYRINOGEN-III	2	2
DIHYDRONEOPTERIN-P	2	2
CPD0-1699	1	1
CPD-1128	1	1
CPD-12115	1	0
CPD-10818	2	2
CARBON-MONOXIDE	2	2
HISTIDINOL	1	1
CPD0-1108	2	4
CPD-11712	2	2
CPD-10683	1	0
CPD-9925	2	2
DIHYDROXYNAPHTHOATE	1	0
CPD-7078	2	2
XANTHURENATE	1	1
2-KETOGLUTARATE	2	2
CPD-15190	2	2
Butanoyl-ACPs	2	2
CPD-15818	2	4
CPD-14205	0	1
CPD-1772	0	1
CPD-22022	2	2
CPD-16618	1	0
P3I	2	2
NADP	4	4
ASN	2	2
Donor-H2	4	4
CPD0-2298	0	1
2-METHYLMALEATE	1	0
MG-PROTOPORPHYRIN	2	2
CPD-7422	1	1
CPD-22404	1	0
Hex-2-enoyl-ACPs	2	2
CPD-330	1	0
DEPHOSPHO-COA	2	2
CPD-3	4	4
DAMP	2	4
QUINOLINATE	2	2
CPD-645	0	1
C-DI-GMP	1	1
OH	4	4
CPD-12610	0	4
CPD-10283	2	2
ACETOL	1	1
CPD-365	1	1
11Z-icos-11-enoyl-ACPs	1	1
TMP	2	2
MALONATE-S-ALD	2	2
7-AMINOMETHYL-7-DEAZAGUANINE	1	1
GLYOX	2	2
3-oxo-stearoyl-ACPs	2	2
9Z-3-oxo-octadec-9-enoyl-ACPs	0	1
3-oxo-palmitoyl-ACPs	2	2
3R-5Z-3-hydroxy-tetradec-5-enoyl-ACPs	0	1
CPD-1086	2	2
CPD-471	1	0
F-	4	4
PROPIONYL-COA	1	1
Reduced-ferredoxins	4	4
Palmitoleoyl-ACPs	1	1
OXALATE	2	2
5-KETO-4-DEOXY-D-GLUCARATE	0	1
CPD-22010	2	2
5-HYDROXY-CTP	2	2
KDO	1	0
DIHYDROPTERIN-CH2OH-PP	2	2
CPD-7246	1	0
CPD0-2018	1	0
4-OXOGLUTARAMATE	1	0
D-GALACTONATE	0	3
GDP-MANNOSE	2	2
L-GULONO-1-4-LACTONE	2	2
4-FUMARYL-ACETOACETATE	0	1
CPD-1484	4	4
CPD-22013	2	2
L-XYLULOSE	1	1
Cis-vaccenoyl-ACPs	1	1
CPD-15936	1	0
PHOSPHORIBOSYL-AMP	2	2
2-PG	2	4
GAP	2	4
TRANS-3-METHYL-GLUTACONYL-COA	2	2
CYTOSINE	2	2
Beta-hydroxydecanoyl-ACPs	2	2
AMINO-OXOBUT	1	1
CPD-465	0	1
BORATE	4	4
CPD-15154	2	0
CPD-20262	2	0
CPD-14274	2	2
CPD0-881	1	0
CPD-12179	0	1
FRUCTURONATE	1	0
CPD1F-114	1	1
CPD-289	0	1
CPD-7643	1	0
CPD-804	0	1
1516-DIHYDROBILIVERDIN	2	2
3-HYDROXY-3-METHYL-GLUTARYL-COA	2	2
CPD-653	4	4
DEOXYXYLULOSE-5P	2	4
CPD-9965	2	2
CPD1F-126	1	1
THF-GLU-N	4	4
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE	2	2
CPD-12119	1	0
TTP	2	2
3-oxo-cis-D9-hexadecenoyl-ACPs	0	1
D-XYLULOSE	1	3
THYMINE	1	0
CPD-4211	2	2
CPD-22021	2	2
GMP	2	2
2-KETO-ISOVALERATE	2	4
CPD-13243	2	2
CPD-1091	1	1
L-CITRULLINE	2	2
CPD-12321	2	2
CPD-12150	1	0
PHOSPHORYL-ETHANOLAMINE	2	2
CPD-13613	2	2
L-GAMMA-GLUTAMYLCYSTEINE	2	2
DI-H-URACIL	2	2
UDP-N-ACETYLMURAMATE	1	1
D-RIBULOSE-15-P2	4	4
AMMONIUM	4	4
L-GULONATE	2	2
GLN	2	2
Trans-D2-decenoyl-ACPs	2	2
DI-H-OROTATE	2	2
