Compound	Cluster	Classes	Common names	MetaCyc link
CPD-12610	1	Inorganic-Minerals, FRAMES, Inorganic-Compounds, Compounds-And-Elements, Compounds, Chemicals	MnIVO2	https://metacyc.org/compound?orgid=META&id=CPD-12610
4-MALEYL-ACETOACETATE	1	FRAMES, Compounds, Compounds-And-Elements, Chemicals	4-maleyl-acetoacetate	https://metacyc.org/compound?orgid=META&id=4-MALEYL-ACETOACETATE
L-LACTATE	1	2-Hydroxy-carboxylates, Short-Chain-Carboxylates, L-2-hydroxyacids, Carboxylates, All-Carboxy-Acids, Acids, Hydroxy-carboxylates, Chemicals, Organic-Acids, Compounds-And-Elements, FRAMES, Compounds, Lactate	(S)-lactate	https://metacyc.org/compound?orgid=META&id=L-LACTATE
ADENINE	1	Nitrogen-Molecular-Entities, Purines, Purine-Bases, Organic-heteromonocyclic-compounds, Chemicals, Organic-heterobicyclic-compounds, Organic-Heteropolycyclic-Compounds, FRAMES, Compounds-And-Elements, Organonitrogen-Heterocyclic-Compounds, Compounds, Cobamide-Lower-Ligands, All-Nucleosides, Organonitrogen-Compounds, Organic-heterocyclic-compound, Bases	adenine	https://metacyc.org/compound?orgid=META&id=ADENINE
CPD0-2461	1	FRAMES, Compounds-And-Elements, Compounds, All-Nucleosides, Modified-Bases, Chemicals	isoguanine	https://metacyc.org/compound?orgid=META&id=CPD0-2461
ARABINOSE-5P	1	Arabinose-5P, Carbohydrates, Compounds-And-Elements, FRAMES, All-Carbohydrates, Pentose-phosphates, Sugar-Phosphate, Carbohydrate-Derivatives, Glycans, Compounds, SUGAR-5-PHOSPHATES, PENTOSE-5-PHOSPHATES, Chemicals	aldehydo-D-arabinose 5-phosphate	https://metacyc.org/compound?orgid=META&id=ARABINOSE-5P
D-XYLULOSE	1	Glycans, D-Pentoses, Chemicals, Carbohydrates, Sugar, Pentoses, Compounds-And-Elements, FRAMES, Ketoses, All-Carbohydrates, Monosaccharides, D-Ketopentoses, Compounds, Xylulose, Ketopentoses	D-xylulose	https://metacyc.org/compound?orgid=META&id=D-XYLULOSE
L-RIBULOSE	1	Glycans, L-Pentoses, Chemicals, Carbohydrates, Sugar, Pentoses, Ketoses, Compounds-And-Elements, FRAMES, All-Carbohydrates, Monosaccharides, Compounds, Ribulose, Ketopentoses	L-ribulose	https://metacyc.org/compound?orgid=META&id=L-RIBULOSE
HYPOXANTHINE	1	Nitrogen-Molecular-Entities, Purines, Purine-Bases, Organic-heteromonocyclic-compounds, Chemicals, Organic-heterobicyclic-compounds, Organic-Heteropolycyclic-Compounds, FRAMES, Compounds-And-Elements, Organonitrogen-Heterocyclic-Compounds, Compounds, All-Nucleosides, Organonitrogen-Compounds, Organic-heterocyclic-compound, Bases	hypoxanthine	https://metacyc.org/compound?orgid=META&id=HYPOXANTHINE
2-DEHYDRO-3-DEOXY-D-GALACTONATE	1	Organic-Acids, Compounds-And-Elements, FRAMES, 2-Oxo-carboxylates, Carboxylates, Compounds, All-Carboxy-Acids, Acids, 2-Oxo-Acids, Chemicals	2-dehydro-3-deoxy-D-galactonate	https://metacyc.org/compound?orgid=META&id=2-DEHYDRO-3-DEOXY-D-GALACTONATE
D-GALACTONATE	1	Organic-Acids, Carbohydrates, Compounds-And-Elements, FRAMES, Carboxylates, All-Carbohydrates, Glycans, Compounds, Aldonic-Acids, All-Carboxy-Acids, Carbohydrate-acids, Acids, Chemicals	D-galactonate	https://metacyc.org/compound?orgid=META&id=D-GALACTONATE
CPD-255	1	Compounds-And-Elements, FRAMES, Aldehydes-Or-Ketones, LONG-CHAIN-KETONE, ACETOIN, Compounds, Chemicals	(S)-acetoin	https://metacyc.org/compound?orgid=META&id=CPD-255
4-OXALOMESACONATE	1	Organic-Acids, Compounds-And-Elements, Tricarboxylates, FRAMES, Carboxylates, Compounds, All-Carboxy-Acids, Acids, 2-Oxo-Acids, Chemicals	(1E)-4-oxobut-1-ene-1,2,4-tricarboxylate	https://metacyc.org/compound?orgid=META&id=4-OXALOMESACONATE
CPD-12849	1	2-Hydroxy-carboxylates, Carboxylates, All-Carboxy-Acids, Acids, Hydroxy-carboxylates, Chemicals, Organic-Acids, Compounds-And-Elements, Tricarboxylates, FRAMES, Compounds	(1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate	https://metacyc.org/compound?orgid=META&id=CPD-12849
L-RIBULOSE-5-P	1	Carbohydrates, Ribulose-phosphates, Compounds-And-Elements, FRAMES, All-Carbohydrates, Pentose-phosphates, Sugar-Phosphate, Carbohydrate-Derivatives, Glycans, Compounds, SUGAR-5-PHOSPHATES, PENTOSE-5-PHOSPHATES, Chemicals	L-ribulose 5-phosphate	https://metacyc.org/compound?orgid=META&id=L-RIBULOSE-5-P
CPD-346	1	Compounds-And-Elements, FRAMES, Compounds, Diols, Alcohols, 2-3-Butanediols, glycols, Chemicals	(S,S)-2,3-butanediol	https://metacyc.org/compound?orgid=META&id=CPD-346
CPD-9016	1	Aromatics, FRAMES, Compounds-And-Elements, Compounds, Chemicals	6,8-dihydroxypurine	https://metacyc.org/compound?orgid=META&id=CPD-9016
S-LACTOYL-GLUTATHIONE	1	2-hydroxyacyl-glutathiones, S-ACYLGLUTATHIONE, Compounds-And-Elements, FRAMES, ORGANOSULFUR, All-Glutathiones, Compounds, S-Substituted-Glutathione, Chemicals	(R)-S-lactoylglutathione	https://metacyc.org/compound?orgid=META&id=S-LACTOYL-GLUTATHIONE
