	Porterinema_fluviatile__Antarctobacter_heliothermus	Chordaria_linearis__Antarctobacter_heliothermus	Porterinema_fluviatile__Rhodopirellula_europaea_6C	Chordaria_linearis__Muricauda_eckloniae	Chordaria_linearis__Rhodopirellula_europaea_6C	Chordaria_linearis__Candidatus_Phaeomarinobacter_ectocarpi	Porterinema_fluviatile__Muricauda_eckloniae	Porterinema_fluviatile__Candidatus_Phaeomarinobacter_ectocarpi
CPD-622	1	1	1	1	1	1	1	1
CPD-12185	1	1	0	0	0	1	0	1
CPD-22018	2	2	2	2	2	2	2	2
N-ALPHA-ACETYLORNITHINE	2	2	2	2	2	2	2	2
CPD-12253	1	1	1	1	1	1	1	1
4Z-9Z-Octadec-4-9-dienoyl-acp	0	0	0	1	0	1	1	1
L-GAMMA-GLUTAMYLCYSTEINE	2	2	2	2	2	2	2	2
IMINOASPARTATE	2	2	2	2	2	2	2	2
PROTOHEME	2	2	2	2	2	2	2	2
CPD-367	2	2	2	2	2	2	2	2
2-AMINOMUCONATE_SEMIALDEHYDE	0	0	0	1	0	0	1	0
FAD	2	2	2	2	2	2	2	2
PROPIONYL-COA	1	1	1	1	1	1	1	1
DIHYDROXYNAPHTHOATE	0	0	0	1	0	0	1	0
D-ALTRONATE	0	0	1	0	1	0	0	0
CPD0-1456	0	1	0	0	1	0	0	0
AICAR	2	2	2	2	2	2	2	2
3-oxo-cis-vaccenoyl-ACPs	1	1	0	1	0	1	1	1
3-ENOLPYRUVYL-SHIKIMATE-5P	4	4	2	2	2	2	2	2
3-HYDROXY-L-KYNURENINE	1	1	0	1	0	0	1	0
CPD-20465	2	2	2	2	2	2	2	2
DELTA3-ISOPENTENYL-PP	2	2	2	2	2	2	2	2
RIBULOSE-5P	4	4	2	2	2	2	2	2
CPD-641	2	2	2	2	2	2	2	2
CPD-20647	0	0	1	1	1	1	1	1
R-2-HYDROXYGLUTARATE	2	2	2	2	2	2	2	2
HIS	1	1	0	1	0	1	1	1
D-Ribopyranose	4	4	2	2	2	2	2	2
NICOTINATE_NUCLEOTIDE	2	2	4	2	4	4	2	4
CAPSORUBIN	0	0	0	1	0	1	1	1
L-DEHYDRO-ASCORBATE	2	2	2	2	2	2	2	2
CPD-10723	1	1	1	1	1	0	1	0
CPD-22020	2	2	2	2	2	2	2	2
CPD-12116	0	0	0	1	0	0	1	0
GLYCERATE	1	1	1	1	1	0	1	0
CPD-381	2	2	2	2	2	2	2	2
Red-Thioredoxin	4	4	4	4	4	4	4	4
Reduced-flavodoxins	4	4	4	4	4	4	4	4
CPD-13611	2	2	2	2	2	2	2	2
PROTOPORPHYRINOGEN	2	2	2	2	2	2	2	2
DIMETHYL-D-RIBITYL-LUMAZINE	2	2	2	2	2	2	2	2
CPD-12587	2	2	2	2	2	2	2	2
CPD-17063	2	2	2	2	2	2	2	2
3S-CITRYL-COA	2	2	2	2	2	2	2	2
CPD-12932	2	2	2	2	2	2	2	2
3Z-dodec-3-enoyl-ACPs	1	1	0	0	0	1	0	1
L-ORNITHINE	2	2	2	2	2	2	2	2
Stearoyl-ACPs	2	2	2	2	2	2	2	2
MALONATE-S-ALD	2	2	2	2	2	2	2	2
GDP-L-GALACTOSE	2	2	2	2	2	2	2	2
L-DI-GMP	0	0	1	0	1	1	0	1
