Compound	Cluster	Classes	Common names	MetaCyc link
NOREPINEPHRINE	1	Diols, Compounds, Chemicals, Alcohols, Benzenediols, Catechols, Aromatics, Compounds-And-Elements, FRAMES	(R)-noradrenaline	https://metacyc.org/compound?orgid=META&id=NOREPINEPHRINE
CPD-20261	1	Compounds, Chemicals, Cyclic-Ketones, LONG-CHAIN-KETONE, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements, FRAMES	2-S-cysteinyldopaquinone	https://metacyc.org/compound?orgid=META&id=CPD-20261
DIHYDROXYINDOLE	1	Compounds, Aromatics, Chemicals, Compounds-And-Elements, Indole-Derivatives, Indoles, FRAMES	5,6-dihydroxyindole	https://metacyc.org/compound?orgid=META&id=DIHYDROXYINDOLE
CPD-8652	1	Compounds, Chemicals, Indole-Derivatives, Indoles, Secondary-Metabolites, Aromatics, Compounds-And-Elements, FRAMES, ALKALOID	leucodopachrome	https://metacyc.org/compound?orgid=META&id=CPD-8652
CPD-15154	1	Compounds, Chemicals, Cyclic-Ketones, LONG-CHAIN-KETONE, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements, FRAMES	5-S-cysteinyldopa	https://metacyc.org/compound?orgid=META&id=CPD-15154
CPD-253	1	Compounds-And-Elements, Compounds, FRAMES, Chemicals	4,5-seco-dopa	https://metacyc.org/compound?orgid=META&id=CPD-253
L-DOPACHROME	1	Compounds, Aromatics, Chemicals, Compounds-And-Elements, Indole-Derivatives, Indoles, FRAMES	L-dopachrome	https://metacyc.org/compound?orgid=META&id=L-DOPACHROME
DOPAMINE	1	Diols, Compounds, Chemicals, Alcohols, Benzenediols, Catechols, Aromatics, Compounds-And-Elements, FRAMES	dopamine	https://metacyc.org/compound?orgid=META&id=DOPAMINE
L-DIHYDROXY-PHENYLALANINE	1	Amino-Acids, All-Amino-Acids, Chemicals, Alcohols, All-Carboxy-Acids, Non-standard-amino-acids, Carboxylates, Organic-Acids, Catechols, Compounds-And-Elements, FRAMES, Diols, Alpha-Amino-Acids, Compounds, Acids, Benzenediols, Aromatics	L-dopa	https://metacyc.org/compound?orgid=META&id=L-DIHYDROXY-PHENYLALANINE
CPD-20263	1	Compounds, Chemicals, Cyclic-Ketones, LONG-CHAIN-KETONE, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements, FRAMES	7-[(2S)-2-amino-2-carboxylatoethyl]-5-hydroxy-2H-1,4-benzothiazine-3-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-20263
CPD-20260	1	Compounds, Chemicals, Cyclic-Ketones, LONG-CHAIN-KETONE, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements, FRAMES	2-S-cysteinyldopa	https://metacyc.org/compound?orgid=META&id=CPD-20260
DOPAQUINONE	1	Compounds, Chemicals, Cyclic-Ketones, LONG-CHAIN-KETONE, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements, FRAMES	dopaquinone	https://metacyc.org/compound?orgid=META&id=DOPAQUINONE
CPD-20264	1	Compounds, Chemicals, Cyclic-Ketones, LONG-CHAIN-KETONE, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements, FRAMES	8-[(2S)-2-amino-2-carboxylatoethyl]-5-hydroxy-2H-1,4-benzothiazine-3-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-20264
CPD-20262	1	Compounds, Chemicals, Cyclic-Ketones, LONG-CHAIN-KETONE, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements, FRAMES	5-S-cysteinyldopaquinone	https://metacyc.org/compound?orgid=META&id=CPD-20262
CPD-9646	1	Isoprenoid-Derivatives, Compounds, CIS-TRANS-POLYISOPRENYL-P, Chemicals, Polyisoprenyl-Monophosphates, Isoprenoid-Phosphates, Polyisoprenoids, Compounds-And-Elements, FRAMES, Lipids	di-trans,octa-cis-undecaprenyl phosphate	https://metacyc.org/compound?orgid=META&id=CPD-9646
10-FORMYL-DIHYDROFOLATE-GLU-N	1	All-Folates, Nitrogen-Molecular-Entities, Pterins, Chemicals, DIHYDROFOLATE-GLU-N, Organic-heterocyclic-compound, Cofactors, Organonitrogen-Compounds, Dihydrofolate-Derivatives, Compounds-And-Elements, Organic-Heteropolycyclic-Compounds, Vitamins, FRAMES, Compounds, Organic-heterobicyclic-compounds, Pteroates, Pteridines, Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds	an N10-formyl-7,8-dihydrofolate	https://metacyc.org/compound?orgid=META&id=10-FORMYL-DIHYDROFOLATE-GLU-N
CPD-14931	1	All-Folates, Nitrogen-Molecular-Entities, Pterins, Chemicals, THF-Derivatives, Organic-heterocyclic-compound, Cofactors, Organonitrogen-Compounds, Compounds-And-Elements, Organic-Heteropolycyclic-Compounds, Vitamins, FRAMES, Compounds, Organic-heterobicyclic-compounds, Pteroates, Pteridines, Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds	4a-hydroxy-N10-formyltetrahydrofolate	https://metacyc.org/compound?orgid=META&id=CPD-14931
CPD-16500	2	Compounds, FRAMES, CPD-16499, Chemicals, Compounds-And-Elements, Inorganic-Compounds, Inorganic-Minerals	[FeO(OH)] monomer	https://metacyc.org/compound?orgid=META&id=CPD-16500
