Compound	Cluster	Classes	Common names	MetaCyc link
ALPHA-RIBAZOLE-5-P	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	&alpha;-ribazole 5'-phosphate	https://metacyc.org/compound?orgid=META&id=ALPHA-RIBAZOLE-5-P
3R-5Z-3-hydroxy-tetradec-5-enoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (3R,5Z)-3-hydroxy-tetradec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3R-5Z-3-hydroxy-tetradec-5-enoyl-ACPs
CPD-335	1	Compounds-And-Elements, 3-Hydroxy-Fatty-Acids, Fatty-Acids, Carboxylates, Hydroxy-carboxylates, IN-CHAIN-HYDROXY-FATTY-ACID, 3-HYDROXY-BUTYRATE, FRAMES, Organic-Acids, Acids, 2-Or-3-Hydroxy-Fatty-Acids, Chemicals, Compounds, Hydroxy-fatty-acids, All-Carboxy-Acids	(R)-3-hydroxybutanoate	https://metacyc.org/compound?orgid=META&id=CPD-335
CPD-24961	1	Compounds-And-Elements, Carbohydrates, Xylulose, Monosaccharides, Glycans, D-XYLULOSE, Compounds, D-Xylulofuranose, D-Ketopentoses, Pentoses, FRAMES, Sugar, Chemicals, Ketoses, Ketopentoses, D-Pentoses, All-Carbohydrates	&alpha;-D-xylulofuranose	https://metacyc.org/compound?orgid=META&id=CPD-24961
7Z-hexadec-7-enoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (7Z)-hexadec-7-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=7Z-hexadec-7-enoyl-ACPs
b-Keto-cis-D5-dodecenoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (5Z)-3-oxododec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=b-Keto-cis-D5-dodecenoyl-ACPs
CPD-12739	1	Compounds-And-Elements, Carboxylates, Hydroxy-Amino-Acids, Modified-Amino-Acids, Acids, Compounds, Hydroxy-D-Amino-Acids, DL-3-HYDROXYASPARTATE, Amino-Acids, FRAMES, Organic-Acids, Chemicals, CPD0-2079, D-Amino-Acids, All-Carboxy-Acids, All-Amino-Acids	(3S)-3-hydroxy-D-aspartate	https://metacyc.org/compound?orgid=META&id=CPD-12739
CPD-18508	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	hydroxysqualene	https://metacyc.org/compound?orgid=META&id=CPD-18508
CHLOROACETIC-ACID	1	Compounds-And-Elements, Organohalogen-Compounds, FRAMES, Haloacetates, Chemicals, Chlorides, Compounds	2-chloroacetate	https://metacyc.org/compound?orgid=META&id=CHLOROACETIC-ACID
CPD-15999	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	dialurate	https://metacyc.org/compound?orgid=META&id=CPD-15999
CPD-465	1	Polyisoprenoids, Compounds-And-Elements, Lipids, Compounds, FRAMES, Secondary-Metabolites, Chemicals, Triterpenes, Terpenoids	presqualene diphosphate	https://metacyc.org/compound?orgid=META&id=CPD-465
CPD-645	1	Compounds-And-Elements, Carboxylates, Carbohydrates, FRAMES, Organic-Acids, Glycans, Acids, Chemicals, Ketoaldonates, Compounds, Carbohydrate-acids, All-Carboxy-Acids, All-Carbohydrates	5-dehydro-2-deoxy-D-gluconate 6-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-645
3-oxo-cis-D7-tetradecenoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (7Z)-3-oxotetradec-7-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-oxo-cis-D7-tetradecenoyl-ACPs
Trans-D3-cis-D9-hexadecenoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Di-unsaturated-acyl-ACPs, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules	a (2E,9Z)-hexadeca-2,9-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Trans-D3-cis-D9-hexadecenoyl-ACPs
CPD-9408	1	Compounds-And-Elements, Esters, Chemicals, Thioesters, Compounds, FRAMES, All-Coas	2-methylfumaryl-CoA	https://metacyc.org/compound?orgid=META&id=CPD-9408
SULFOACETALDEHYDE	1	Compounds-And-Elements, ORGANOSULFUR, Chemicals, Compounds, SULFONATES, FRAMES	sulfoacetaldehyde	https://metacyc.org/compound?orgid=META&id=SULFOACETALDEHYDE
CPD-25028	1	Compounds-And-Elements, D-Aldoses, Carbohydrates, Aldoses, Monosaccharides, D-L-Xylose, Glycans, D-aldopyranoses, D-Xylopyranose, Aldehydes-Or-Ketones, Compounds, Aldopyranoses, Aldehydes, Aldopentoses, Pentoses, FRAMES, D-Xylose, Sugar, D-aldopentose, Chemicals, D-Pentoses, All-Carbohydrates	&alpha;-D-xylopyranose	https://metacyc.org/compound?orgid=META&id=CPD-25028
4-HYDROXY-BUTYRATE	1	Compounds-And-Elements, Fatty-Acids, Carboxylates, Lipids, Hydroxy-carboxylates, FRAMES, Omega-Hydroxy-Short-Chain-Fatty-Acid, Organic-Acids, Acids, Chemicals, OMEGA-HYDROXY-FATTY-ACID, Omega-Hydroxy-Me-Branched-Lipids, Compounds, Hydroxy-fatty-acids, All-Carboxy-Acids	4-hydroxybutanoate	https://metacyc.org/compound?orgid=META&id=4-HYDROXY-BUTYRATE
CPD-15555	1	Compounds-And-Elements, Hormones, FRAMES, Aromatics, Auxins, Plant-Hormones, Chemicals, Indoles, Indole-Derivatives, Compounds	(2-hydroxy-1H-indol-3-yl)acetate	https://metacyc.org/compound?orgid=META&id=CPD-15555
CPD-1772	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	2-aminoacetaldehyde	https://metacyc.org/compound?orgid=META&id=CPD-1772
CPD-612	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	acetylpyruvate	https://metacyc.org/compound?orgid=META&id=CPD-612
CPD-15127	1	Compounds-And-Elements, Carboxylates, FRAMES, Monocarboxylates, Organic-Acids, Acids, Chemicals, Compounds, All-Carboxy-Acids	5-deoxy-D-glucuronate	https://metacyc.org/compound?orgid=META&id=CPD-15127
3R-9Z-3-hydroxy-octadec-9-enoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (3R,9Z)-3-hydroxy-octadec-9-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3R-9Z-3-hydroxy-octadec-9-enoyl-ACPs
b-Hydroxy-cis-D5-dodecenoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (3R,5Z)-3-hydroxydodec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=b-Hydroxy-cis-D5-dodecenoyl-ACPs
Trans-D3-cis-D5-dodecenoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Di-unsaturated-acyl-ACPs, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules	a (2E,5Z)-dodeca-3,5-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Trans-D3-cis-D5-dodecenoyl-ACPs
CPD-12179	1	Compounds-And-Elements, Chemicals, Compounds, FRAMES	methylmalonate semialdehyde	https://metacyc.org/compound?orgid=META&id=CPD-12179
2E-9Z-octadeca-2-9-dienoyl-ACPs	1	Polypeptides, FRAMES, Proteins, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, a-polyunsaturated-acyl-acp	a (2E,9Z)-octadeca-2,9-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=2E-9Z-octadeca-2-9-dienoyl-ACPs
CPD-14205	1	Compounds-And-Elements, Esters, Chemicals, Thioesters, Compounds, FRAMES, All-Coas	3-methylfumaryl-CoA	https://metacyc.org/compound?orgid=META&id=CPD-14205
CPD-20826	1	Compounds-And-Elements, Nucleotides, Purine-ribonucleosides-5-P, All-Nucleosides, Organic-Heteropolycyclic-Compounds, Purine-Nucleotides, Nucleoside-Monophosphates, Ribonucleotides, Purines, Nitrogen-Molecular-Entities, Compounds, Organic-heterocyclic-compound, Ribonucleoside-Monophosphates, Organic-heterobicyclic-compounds, Purine-ribonucleotides, Organic-heteromonocyclic-compounds, Organonitrogen-Compounds, Organonitrogen-Heterocyclic-Compounds, FRAMES, Chemicals	adenine ribotide phosphate	https://metacyc.org/compound?orgid=META&id=CPD-20826
3-hydroxy-cis-D7-tetraecenoyl-ACPs	1	Polypeptides, FRAMES, Proteins, OH-ACYL-ACP, Modified-Proteins, All-ACPs, Chemicals, ACYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs	a (3R,7Z)-3-hydroxytetradec-7-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-hydroxy-cis-D7-tetraecenoyl-ACPs
ECTOINE	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	ectoine	https://metacyc.org/compound?orgid=META&id=ECTOINE
CPD-19757	1	Compounds-And-Elements, Compounds, Chemicals, FRAMES	(2S)-2-acetamido-4-aminobutanoate	https://metacyc.org/compound?orgid=META&id=CPD-19757
