Compound	Cluster	Classes	Common names	MetaCyc link
CPD-12610	1	Inorganic-Compounds, Chemicals, Inorganic-Minerals, FRAMES, Compounds, Compounds-And-Elements	MnIVO2	https://metacyc.org/compound?orgid=META&id=CPD-12610
4-MALEYL-ACETOACETATE	1	FRAMES, Chemicals, Compounds, Compounds-And-Elements	4-maleyl-acetoacetate	https://metacyc.org/compound?orgid=META&id=4-MALEYL-ACETOACETATE
CPD-227	1	Aldopentoses, Carbohydrates, Glycans, D-aldopentose, Aldehydes-Or-Ketones, D-LYXOSE, Compounds-And-Elements, Monosaccharides, Pentoses, D-Lyxopyranose, Aldoses, Sugar, D-Pentoses, Chemicals, D-Aldoses, FRAMES, Aldehydes, Lyxose, All-Carbohydrates, Compounds	&alpha;-D-lyxopyranose	https://metacyc.org/compound?orgid=META&id=CPD-227
METHYL-GLYOXAL	1	Chemicals, FRAMES, LONG-CHAIN-KETONE, Aldehydes, Aldehydes-Or-Ketones, Compounds, Ketals, Compounds-And-Elements	methylglyoxal	https://metacyc.org/compound?orgid=META&id=METHYL-GLYOXAL
S-LACTOYL-GLUTATHIONE	1	Chemicals, S-ACYLGLUTATHIONE, 2-hydroxyacyl-glutathiones, FRAMES, S-Substituted-Glutathione, Compounds, ORGANOSULFUR, All-Glutathiones, Compounds-And-Elements	(R)-S-lactoylglutathione	https://metacyc.org/compound?orgid=META&id=S-LACTOYL-GLUTATHIONE
D-XYLULOSE	1	Xylulose, Carbohydrates, Glycans, Ketoses, Monosaccharides, Pentoses, Sugar, D-Pentoses, Chemicals, Ketopentoses, Compounds-And-Elements, FRAMES, All-Carbohydrates, D-Ketopentoses, Compounds	D-xylulose	https://metacyc.org/compound?orgid=META&id=D-XYLULOSE
ARABINOSE-5P	1	Chemicals, Sugar-Phosphate, PENTOSE-5-PHOSPHATES, SUGAR-5-PHOSPHATES, FRAMES, Pentose-phosphates, Carbohydrates, Glycans, All-Carbohydrates, Arabinose-5P, Carbohydrate-Derivatives, Compounds, Compounds-And-Elements	aldehydo-D-arabinose 5-phosphate	https://metacyc.org/compound?orgid=META&id=ARABINOSE-5P
CPD-10353	1	ACETOIN, Aldehydes-Or-Ketones, Chemicals, Compounds, FRAMES, LONG-CHAIN-KETONE, Compounds-And-Elements	(R)-acetoin	https://metacyc.org/compound?orgid=META&id=CPD-10353
BETA-D-FRUCTOSE	1	D-Ketoses, FRU, Fructose, Carbohydrates, Glycans, D-Ketohexoses, Compounds-And-Elements, Monosaccharides, Sugar, Chemicals, Ketohexoses, FRAMES, Hexoses, All-Carbohydrates, D-Hexoses, Ketoses, Fructofuranose, Compounds	&beta;-D-fructofuranose	https://metacyc.org/compound?orgid=META&id=BETA-D-FRUCTOSE
CPD0-2461	1	Chemicals, FRAMES, All-Nucleosides, Modified-Bases, Compounds, Compounds-And-Elements	isoguanine	https://metacyc.org/compound?orgid=META&id=CPD0-2461
L-LACTATE	1	Short-Chain-Carboxylates, Hydroxy-carboxylates, Acids, Lactate, L-2-hydroxyacids, Carboxylates, 2-Hydroxy-carboxylates, Compounds-And-Elements, Chemicals, FRAMES, Organic-Acids, All-Carboxy-Acids, Compounds	(S)-lactate	https://metacyc.org/compound?orgid=META&id=L-LACTATE
