	PFluv_CLine_REuro	CLine_CLine_REuro	PFluv_CLine_MEckl	CLine_PFluv_CPhae	PFluv_PFluv_CPhae	CLine_CLine_MEckl	PFluv_PFluv_AHeli	CLine_PFluv_AHeli
CPD-11799	2	2	2	2	2	2	2	2
CPD-389	1	1	0	0	0	0	1	1
CPD-14808	2	2	2	2	2	2	2	2
ADENYLOSUCC	2	2	2	2	2	2	2	2
CPD-8652	0	2	0	2	0	2	0	2
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	0	0	1	0	0	1	0	0
CPD-13357	2	2	2	2	2	2	4	4
XANTHOSINE	2	2	2	2	2	2	4	4
2-KETOGLUTARATE	2	2	2	2	2	2	2	2
7Z-hexadec-7-enoyl-ACPs	0	0	0	1	1	0	1	1
CPD-15818	2	2	2	2	2	2	4	4
GLUCOSAMINE-1P	0	0	0	0	0	0	1	1
CPD-17063	2	2	2	2	2	2	2	2
3-HYDROXY-3-METHYL-GLUTARYL-COA	2	2	2	2	2	2	2	2
CYTIDINE	2	2	2	2	2	2	2	2
PHENYLACETALDEHYDE	2	2	2	2	2	2	2	2
CPD-14205	0	0	0	0	0	0	1	1
CPD-14283	2	2	2	2	2	2	2	2
ANTHRANILATE	2	2	2	2	2	2	2	2
2E-7Z-hexadeca-2-7-dienoyl-ACPs	0	0	0	1	1	0	1	1
MALONYL-ACP	2	2	2	2	2	2	2	2
S-ALLANTOIN	2	2	2	2	2	2	2	2
ETOH	1	1	1	1	1	1	1	1
D-Glucopyranuronate	2	2	2	2	2	2	2	2
CAPSORUBIN	0	0	1	1	1	1	0	0
CPD-13469	1	1	1	0	0	1	0	0
CPD-22018	2	2	2	2	2	2	2	2
Octadec-2-enoyl-ACPs	2	2	2	2	2	2	2	2
3-oxo-hexanoyl-ACPs	2	2	2	2	2	2	2	2
CMP-KDO	1	1	1	0	0	1	0	0
3-P-SERINE	2	2	2	2	2	2	2	2
D-METHYL-MALONYL-COA	1	1	1	1	1	1	1	1
ALPHA-GLUCOSE	2	2	2	2	2	2	2	2
5-AMINO-LEVULINATE	2	2	2	2	2	2	2	2
Cytochromes-C-Reduced	4	4	4	4	4	4	4	4
XANTHOSINE-5-PHOSPHATE	2	2	2	2	2	2	2	2
2-KETO-3-DEOXY-6-P-GLUCONATE	1	1	0	0	0	0	0	0
CPD-10778	4	4	4	4	4	4	4	4
Palmitoleoyl-ACPs	0	0	1	1	1	1	1	1
CPD-12185	0	0	0	1	1	0	1	1
METHYL-MALONYL-COA	2	2	2	2	2	2	2	2
GAP	2	2	2	2	2	2	4	4
CPD-9923	2	2	2	2	2	2	2	2
CPD-12366	2	2	2	2	2	2	2	2
PHENYL-PYRUVATE	2	2	2	2	2	2	2	2
2-DEHYDRO-3-DEOXY-D-GALACTONATE	0	0	0	0	0	0	3	3
3-oxo-cis-vaccenoyl-ACPs	0	0	1	1	1	1	1	1
DEOXYINOSINE	0	0	0	0	0	0	1	1
1-L-MYO-INOSITOL-1-P	2	2	2	2	2	2	2	2
CPD-317	2	2	2	2	2	2	2	2
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	0	0	0	1	1	0	0	0
CPD-21306	0	0	1	0	0	1	0	0
PROTOHEME	2	2	2	2	2	2	2	2
CARBAMYUL-L-ASPARTATE	2	2	2	2	2	2	2	2
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	2	2	2	2	2	2	2	2
CPD-14274	2	2	2	2	2	2	2	2
BILIVERDINE	2	2	2	2	2	2	2	2
CPD-671	2	2	2	2	2	2	2	2
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	2	2	2	2	2	2	2	2
KDO	1	1	1	0	0	1	0	0
3-SULFINOALANINE	2	2	2	2	2	2	2	2
Cytochromes-C-Oxidized	4	4	4	4	4	4	4	4
CPD-7422	1	1	1	1	1	1	0	0
INDOLE_ACETATE_AUXIN	2	2	2	2	2	2	2	2
CPD-13914	2	2	2	2	2	2	2	2
CPD-14443	2	2	2	2	2	2	2	2
O-SUCCINYLBENZOATE	2	2	2	2	2	2	2	2
L-GULONATE	2	2	2	2	2	2	2	2
DIACETYL	2	2	2	2	2	2	4	4
CPD0-181	1	1	1	0	0	1	1	1
CPD-14053	2	2	2	2	2	2	2	2
CPD-7046	4	4	4	2	2	4	4	4
CPD-22012	2	2	2	2	2	2	2	2
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR	2	2	2	2	2	2	2	2
DEOXYCYTIDINE	1	1	1	0	0	1	1	1
CPD1F-126	1	1	1	1	1	1	0	0
CPD-1091	1	1	0	0	0	0	1	1
CPD-19753	1	1	1	0	0	1	0	0
CPD-15555	0	0	0	1	1	0	0	0
FRUCTURONATE	1	1	1	0	0	1	0	0
CPD-597	2	2	2	2	2	2	2	2
P-AMINO-BENZOATE	2	2	2	2	2	2	2	2
CPD-14795	1	1	0	0	0	0	1	1
D-Galactopyranuronate	1	1	0	0	0	0	0	0
GLT-tRNAs	4	4	4	4	4	4	4	4
CPD-13118	2	2	2	2	2	2	2	2
KYNURENATE	0	0	1	0	0	1	1	1
CPD-10279	2	2	2	2	2	2	2	2
CPD-3633	0	0	1	0	0	1	0	0
NEUROSPORENE	1	1	1	1	1	1	0	0
2-ACETO-LACTATE	2	2	2	2	2	2	4	4
CPD-22004	2	2	2	2	2	2	2	2
AMP	4	4	4	4	4	4	4	4
CPD-14271	2	2	2	2	2	2	2	2
R-2-HYDROXYGLUTARATE	2	2	2	2	2	2	2	2
L-GULONO-1-4-LACTONE	2	2	2	2	2	2	2	2
3-UREIDO-PROPIONATE	2	2	2	2	2	2	2	2
CPD-645	0	0	0	0	0	0	1	1
COPROPORPHYRINOGEN_III	2	2	2	2	2	2	2	2
L-XYLULOSE	1	1	1	0	0	1	1	1
3-oxo-petroselinoyl-ACPs	0	0	0	1	1	0	0	0
CPD-11444	2	2	2	2	2	2	2	2
CPD-22007	2	2	2	2	2	2	2	2
Delta6-hexadecenoyl-ACPs	0	0	1	1	1	1	0	0
Trans-D3-cis-D5-dodecenoyl-ACPs	0	0	0	1	1	0	1	1
DIHYDROPTERIN-CH2OH-PP	2	2	2	2	2	2	2	2
FUM	2	2	2	2	2	2	2	2
CPD-341	2	2	2	2	2	2	2	2
PROPIONYL-COA	1	1	1	1	1	1	1	1
CU+2	4	4	4	4	4	4	4	4
CPD-208	0	0	0	1	1	0	1	1
CPD-254	1	1	0	0	0	0	0	0
CHOCOLA_A	0	0	1	0	0	1	0	0
CPD-12150	0	0	1	0	0	1	0	0
