Compound	Cluster	Classes	Common names	MetaCyc link
CPD-20264	1	Chemicals, FRAMES, LONG-CHAIN-KETONE, Cyclic-Ketones, Compounds, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements	8-[(2S)-2-amino-2-carboxylatoethyl]-5-hydroxy-2H-1,4-benzothiazine-3-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-20264
CPD-20263	1	Chemicals, FRAMES, LONG-CHAIN-KETONE, Cyclic-Ketones, Compounds, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements	7-[(2S)-2-amino-2-carboxylatoethyl]-5-hydroxy-2H-1,4-benzothiazine-3-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-20263
CPD-15154	1	Chemicals, FRAMES, LONG-CHAIN-KETONE, Cyclic-Ketones, Compounds, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements	5-S-cysteinyldopa	https://metacyc.org/compound?orgid=META&id=CPD-15154
DOPAMINE	1	Aromatics, Benzenediols, Chemicals, Alcohols, Catechols, FRAMES, Diols, Compounds, Compounds-And-Elements	dopamine	https://metacyc.org/compound?orgid=META&id=DOPAMINE
CPD-253	1	Chemicals, Compounds, FRAMES, Compounds-And-Elements	4,5-seco-dopa	https://metacyc.org/compound?orgid=META&id=CPD-253
DOPAQUINONE	1	Chemicals, FRAMES, LONG-CHAIN-KETONE, Cyclic-Ketones, Compounds, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements	dopaquinone	https://metacyc.org/compound?orgid=META&id=DOPAQUINONE
CPD-20260	1	Chemicals, FRAMES, LONG-CHAIN-KETONE, Cyclic-Ketones, Compounds, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements	2-S-cysteinyldopa	https://metacyc.org/compound?orgid=META&id=CPD-20260
DIHYDROXYINDOLE	1	Aromatics, Chemicals, Compounds, FRAMES, Indoles, Compounds-And-Elements, Indole-Derivatives	5,6-dihydroxyindole	https://metacyc.org/compound?orgid=META&id=DIHYDROXYINDOLE
CPD-8652	1	Aromatics, Chemicals, FRAMES, Indoles, Indole-Derivatives, Compounds, Secondary-Metabolites, Compounds-And-Elements, ALKALOID	leucodopachrome	https://metacyc.org/compound?orgid=META&id=CPD-8652
L-DOPACHROME	1	Aromatics, Chemicals, Compounds, FRAMES, Indoles, Compounds-And-Elements, Indole-Derivatives	L-dopachrome	https://metacyc.org/compound?orgid=META&id=L-DOPACHROME
CPD-20262	1	Chemicals, FRAMES, LONG-CHAIN-KETONE, Cyclic-Ketones, Compounds, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements	5-S-cysteinyldopaquinone	https://metacyc.org/compound?orgid=META&id=CPD-20262
NOREPINEPHRINE	1	Aromatics, Benzenediols, Chemicals, Alcohols, Catechols, FRAMES, Diols, Compounds, Compounds-And-Elements	(R)-noradrenaline	https://metacyc.org/compound?orgid=META&id=NOREPINEPHRINE
CPD-20261	1	Chemicals, FRAMES, LONG-CHAIN-KETONE, Cyclic-Ketones, Compounds, Quinones, Aldehydes-Or-Ketones, Compounds-And-Elements	2-S-cysteinyldopaquinone	https://metacyc.org/compound?orgid=META&id=CPD-20261
L-DIHYDROXY-PHENYLALANINE	1	Aromatics, Benzenediols, Chemicals, Alcohols, FRAMES, Compounds, Alpha-Amino-Acids, Amino-Acids, Non-standard-amino-acids, All-Carboxy-Acids, Carboxylates, Organic-Acids, Acids, Catechols, Diols, All-Amino-Acids, Compounds-And-Elements	L-dopa	https://metacyc.org/compound?orgid=META&id=L-DIHYDROXY-PHENYLALANINE
CPD-9646	1	Chemicals, FRAMES, CIS-TRANS-POLYISOPRENYL-P, Polyisoprenyl-Monophosphates, Compounds, Isoprenoid-Phosphates, Polyisoprenoids, Lipids, Isoprenoid-Derivatives, Compounds-And-Elements	di-trans,octa-cis-undecaprenyl phosphate	https://metacyc.org/compound?orgid=META&id=CPD-9646
CPD-14931	1	Organic-Heteropolycyclic-Compounds, Chemicals, Organic-heteromonocyclic-compounds, Organic-heterocyclic-compound, FRAMES, Vitamins, Cofactors, THF-Derivatives, Organonitrogen-Compounds, Compounds, Pteroates, Pterins, Pteridines, Organic-heterobicyclic-compounds, Organonitrogen-Heterocyclic-Compounds, All-Folates, Nitrogen-Molecular-Entities, Compounds-And-Elements	4a-hydroxy-N10-formyltetrahydrofolate	https://metacyc.org/compound?orgid=META&id=CPD-14931
10-FORMYL-DIHYDROFOLATE-GLU-N	1	Organic-Heteropolycyclic-Compounds, Chemicals, Organic-heteromonocyclic-compounds, Organic-heterocyclic-compound, FRAMES, Vitamins, Cofactors, Organonitrogen-Compounds, Dihydrofolate-Derivatives, Compounds, Pteroates, Pterins, Pteridines, Organic-heterobicyclic-compounds, Organonitrogen-Heterocyclic-Compounds, All-Folates, DIHYDROFOLATE-GLU-N, Nitrogen-Molecular-Entities, Compounds-And-Elements	an N10-formyl-7,8-dihydrofolate	https://metacyc.org/compound?orgid=META&id=10-FORMYL-DIHYDROFOLATE-GLU-N
CPD-16500	2	Chemicals, Compounds, FRAMES, CPD-16499, Compounds-And-Elements, Inorganic-Compounds, Inorganic-Minerals	[FeO(OH)] monomer	https://metacyc.org/compound?orgid=META&id=CPD-16500
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	2-amino-3-carboxymuconate-6-semialdehyde	https://metacyc.org/compound?orgid=META&id=2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI
N2-SUCCINYLGLUTAMATE	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	N2-succinylglutamate	https://metacyc.org/compound?orgid=META&id=N2-SUCCINYLGLUTAMATE
RETINAL	2	Chemicals, FRAMES, Vitamins, Diterpenes, Vitamin-A, Retinals, Compounds, Aldehydes-Or-Ketones, Secondary-Metabolites, Terpenoids, Aldehydes, Lipids, Polyisoprenoids, Retinoids, Compounds-And-Elements	all-trans-retinal	https://metacyc.org/compound?orgid=META&id=RETINAL
GLUTAMIDE	2	Organic-Acids, Chemicals, Acids, D-Amino-Acids, FRAMES, Compounds, Amino-Acids, All-Amino-Acids, Carboxylates, Compounds-And-Elements, All-Carboxy-Acids	D-glutamine	https://metacyc.org/compound?orgid=META&id=GLUTAMIDE
2-AMINOMUCONATE_SEMIALDEHYDE	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	(2Z,4E)-2-amino-6-oxohexa-2,4-dienoate	https://metacyc.org/compound?orgid=META&id=2-AMINOMUCONATE_SEMIALDEHYDE
DIHYDROXYNAPHTHOATE	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	1,4-dihydroxy-2-naphthoate	https://metacyc.org/compound?orgid=META&id=DIHYDROXYNAPHTHOATE
CPD-19716	2	Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds, Chemicals, Organic-heterocyclic-compound, Organonitrogen-Compounds, FRAMES, Bilins, Compounds, Nitrogen-Molecular-Entities, Polypyrroles, Compounds-And-Elements	mycobilin a	https://metacyc.org/compound?orgid=META&id=CPD-19716
INDOLEYL-CPD	2	Aromatics, Chemicals, FRAMES, Indoles, Nitriles, Compounds, Compounds-And-Elements, Indole-Derivatives	(indol-3-yl)acetonitrile	https://metacyc.org/compound?orgid=META&id=INDOLEYL-CPD
CPD-19715	2	Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds, Chemicals, Organic-heterocyclic-compound, Organonitrogen-Compounds, FRAMES, Bilins, Compounds, Nitrogen-Molecular-Entities, Polypyrroles, Compounds-And-Elements	mycobilin b	https://metacyc.org/compound?orgid=META&id=CPD-19715
FORMAMIDE	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements	formamide	https://metacyc.org/compound?orgid=META&id=FORMAMIDE
CPD-21306	2	Membrane-Electron-Carriers, Redox-Electron-Carriers, ETR-Quinols, Chemicals, Aromatics, FRAMES, Reduced-Quinones, Demethylmenaquinols, Compounds, Menaquinols, Modified-Menaquinols, Acceptors, Compounds-And-Elements	demethylmenaquinol-4	https://metacyc.org/compound?orgid=META&id=CPD-21306
CPD-31	2	Chemicals, Compounds, FRAMES, Compounds-And-Elements, CPD-14325	(R)-citramalate	https://metacyc.org/compound?orgid=META&id=CPD-31
FORMYL-ISOGLUTAMINE	2	Chemicals, FRAMES, Modified-Amino-Acids, Compounds, N-Acylated-Amino-Acids, Amino-Acids, N-ACYL-L-AMINO-ACID, All-Carboxy-Acids, Carboxylates, L-Amino-Acids, Organic-Acids, N-Substituted-Amino-Acids, Acids, N-alpha-Acylated-L-Amino-Acids, All-Amino-Acids, Compounds-And-Elements	formyl-L-isoglutamine	https://metacyc.org/compound?orgid=META&id=FORMYL-ISOGLUTAMINE
