#
#  muricauda_eckloniaecyc 1.0 Reactions link table generated on Sun Jun 25, 2023
#
RXN-14950	EC-2.8.1.8
RXN-8775	EC-1.2.1.26
RXN-14291	EC-2.5.1.39
RXN-14957	EC-2.8.1.8
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26
RXN-7101	
RXN-14959	EC-2.8.1.8
2.5.1.39-RXN	EC-2.5.1.39
RXN-13990	EC-4.1.3.42
RXN0-949	EC-2.8.1.8
RXN-9230	EC-2.5.1.39
RXN-11662	EC-1.1.1.35
KDPGALDOL-RXN	EC-4.1.2.55	EC-4.1.2.14
RXN-9222	EC-2.5.1.39
DEOXYGLUCONOKIN-RXN	EC-2.7.1.178	EC-2.7.1.45
UDPNACETYLMURAMATEDEHYDROG-RXN	EC-1.3.1.98
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EC-2.5.1.39
VALINE-PYRUVATE-AMINOTRANSFER-RXN	EC-2.6.1.66
RXN-13698	EC-2.6.1.2
RXN-9003	EC-2.5.1.39
RXN-9518	EC-1.1.1.100
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-2.6.1.1	EC-2.6.1.27
RXN-11368	EC-2.5.1.39
PPPGPPHYDRO-RXN	EC-3.6.1.40
RXN-10814	EC-2.6.1.1	EC-2.6.1.57	EC-2.6.1.27
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
24-DIAMINOPENTANOATE-DEHYDROGENASE-RXN	EC-1.4.1.12
POLYPHOSPHATE-KINASE-RXN	EC-2.7.4.1
RXN-18500	EC-1.4.1.12
RXN-11737	EC-2.6.1.1
3.4.11.6-RXN	EC-3.4.11.6
RXN-18719	EC-3.4.11.15	EC-3.4.11.6
3-OXOACYL-ACP-REDUCT-RXN	EC-1.1.1.100
RXN-19726	EC-3.1.1.96
RXN-19341	
RXN-15041	EC-3.1.1.96
RXN-19727	EC-3.1.1.96
RXN-19728	EC-3.1.1.96
3.4.11.10-RXN	EC-3.4.11.10
RXN-19729	EC-3.1.1.96
ASPAMINOTRANS-RXN	EC-2.6.1.1
RXN-13697	EC-2.6.1.1
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.1	EC-2.6.1.57	EC-2.6.1.5	EC-2.6.1.27
RXN-14372	EC-2.4.1.18
RXN-7710	EC-2.4.1.18
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
RXN-14371	EC-2.4.1.18
RXN-7669	EC-2.4.1.18
PHOSPHASERDECARB-RXN	EC-4.1.1.65
CDPDIGLYSYN-RXN	EC-2.7.7.41
RXN0-5515	EC-2.7.7.41
RXN-18777	EC-2.4.1.18
RXN-20524	EC-2.7.7.41
BIOTINLIG-RXN	EC-6.3.4.15
RXN0-7192	
RXN-22002	
RXN-16630	EC-1.1.1.100
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
5.4.99.16-RXN	EC-5.4.99.16
3.2.1.10-RXN	EC-3.2.1.10
OROPRIBTRANS-RXN	EC-2.4.2.10
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
DALADALALIG-RXN	EC-6.3.2.4
PROTEIN-KINASE-RXN	EC-2.7.12.1	EC-2.7.11.12	EC-2.7.11.17	EC-2.7.11.1	EC-2.7.11.13	EC-2.7.11.22	EC-2.7.11.21
RXN-21415	EC-7.1.1.2
RXN-17883	
NADH-DEHYDROG-A-RXN	EC-7.1.1.2
PEPCARBOX-RXN	EC-4.1.1.31
RXN-13519	
RXN-17882	
RXN-22603	
RXN0-5248	
RXN-14290	
TRYPSYN-RXN	EC-4.2.1.20
RXN-7592	
RXN0-2381	EC-4.1.2.8
RXN-14808	
RXN0-2382	EC-4.2.1.122
RXN-15139	
RXN-11410	
PRAISOM-RXN	EC-5.3.1.24
RXN-9524	EC-1.1.1.100
RXN0-7080	
RXN-22317	
RXN-12539	
RXN-10851	
RXN-7594	
ANTHRANSYN-RXN	EC-4.1.3.27
RXN-11409	
RXN-22711	
S-ADENMETSYN-RXN	EC-2.5.1.6
RXN-22729	
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
GLURS-RXN	EC-6.1.1.17
PHOSGLYPHOS-RXN	EC-2.7.2.3
PDXJ-RXN	EC-2.6.99.2
RFFTRANS-RXN	EC-2.6.1.59
RXN-22604	
RXN-9990	EC-2.7.7.43
RXN0-5222	
RXN-18364	
RXN-7593	
N-ACETYLNEURAMINATE-SYNTHASE-RXN	EC-2.5.1.56
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
