#
#  rhodopirellula_europaea_6ccyc 1.0 Pathways link table generated on Sun Jun 25, 2023
#
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
PWY-7791	UMP biosynthesis III	uridine-5'-phosphate biosynthesis III	<i>de novo</i> biosynthesis of uridine-5'-phosphate III	<i>de novo</i> biosynthesis of uridine-5'-monophosphate III
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	biotin biosynthesis from 7-keto-8-aminopelargonate
LEUSYN-PWY	L-leucine biosynthesis	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis III (glucokinase)
PWY-6969	TCA cycle V (2-oxoglutarate synthase)	citric acid cycle	tricarboxylic acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	reversed TCA cycle
COA-PWY	coenzyme A biosynthesis I (bacteria)	CoA biosynthesis
TRNA-CHARGING-PWY	tRNA charging	
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	
PWY-6287	neurosporene biosynthesis	
PWY-7909	formaldehyde oxidation VII (THF pathway)	
P124-PWY	Bifidobacterium shunt	Bifidum fermentation	Bifidum pathway	fructose 6-phosphate pathway	Bifidum shunt	glucose fermentation to lactate (Bifidobacteria)	glucose fermentation to lactic acid (Bifidobacteria)
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	octanoyl-ACP biosynthesis (mitochondria, yeast)
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic)	lipid-A-precursor biosynthesis (generic)
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	
PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>)	lipid-A-precursor biosynthesis (<i>P. putida</i>)
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
GLUTORN-PWY	L-ornithine biosynthesis I	
PWY-6703	preQ<sub>0</sub> biosynthesis	deazapurine biosynthesis	7-cyano-7-deazaguanine biosynthesis	7-cyano-7-carbaguanine biosynthesis
PWY-6700	queuosine biosynthesis I (<i>de novo</i>)	
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	
PWY-621	sucrose degradation III (sucrose invertase)	sucrose mobilization
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>)	lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	
VALSYN-PWY	L-valine biosynthesis	
PWY-7663	gondoate biosynthesis (anaerobic)	<i>cis</i>-11-icosenoate biosynthesis	(11<i>Z</i>)-icos-11-enoate biosynthesis	(11<i>Z</i>)-icosenoate biosynthesis	gondoic acid biosynthesis	11-eicosenoic acid biosynthesis
PWY-6938-1	NADH repair (prokaryotes)	
PWY-8136	NADPH repair (prokaryotes)	
PWY-5659	GDP-mannose biosynthesis	
PWYI-14	lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>)	lipid-A-precursor biosynthesis
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo biosynthesis I
PWY-7224	purine deoxyribonucleosides salvage	
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	lipid-A-precursor biosynthesis (<i>E. coli</i>)
PWY1ZNC-1	assimilatory sulfate reduction IV	
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
TRPSYN-PWY	L-tryptophan biosynthesis	
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	
PWY-7790	UMP biosynthesis II	uridine-5'-phosphate biosynthesis II	<i>de novo</i> biosynthesis of uridine-5'-phosphate II	<i>de novo</i> biosynthesis of uridine-5'-monophosphate II
PWY-8266	arsenite methylation (bacterial)	
