#
#  rhodopirellula_europaea_6ccyc 1.0 Reactions link table generated on Sun Jun 25, 2023
#
DISULFOXRED-RXN	EC-1.8.4
RXN-14903	EC-1.5.5.2
RXN0-5259	
RXN0-7005	
DIHYDRODIPICSYN-RXN	EC-4.3.3.7
5.3.4.1-RXN	EC-5.3.4.1
PEROXID-RXN	EC-1.11.1.7
RXN-14116	EC-1.2.1.88
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.23	EC-6.1.1.12
RXN-9868	EC-3.1.1.45
RXN-9857	EC-3.1.1.45
RXN-9887	EC-3.1.1.45
DIENELACHYDRO-RXN	EC-3.1.1.45
RXN-9890	EC-3.1.1.45
RXN-10	EC-6.3.4.5
THIAZOLSYN2-RXN	EC-2.8.1.10
ARGSUCCINSYN-RXN	EC-6.3.4.5
GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2
CARBOXYMETHYLENEBUTENOLIDASE-RXN	EC-3.1.1.45
RXN0-267	EC-1.11.1.24
RXN-22618	
RXN-22617	EC-1.11.1.24
RXN-22616	
3.1.22.4-RXN	EC-3.1.21.10
1.11.1.15-RXN	EC-1.11.1.24
RXN-22620	EC-1.11.1.24
RXN-22619	
RXN197R-54	EC-3.2.1.51
RXN0-5468	
RXN-20687	EC-1.11.1.25
RXN-20688	
RXN-19378	EC-3.2.1.51
R4-RXN	EC-1.11.1.26
ALPHA-L-FUCOSIDASE-RXN	EC-3.2.1.51
RXN-16956	EC-1.2.1.7
RXN-20692	
RXN-21816	EC-3.2.1.51
RXN-20691	
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31
GLUTAMIDOTRANS-RXN	EC-4.3.2.10
RXN-17900	
RXN-19379	EC-3.2.1.51
RXN-20693	EC-1.11.1.27
RXN-20694	
RXN-20697	
RXN-16955	EC-1.2.1.7
RXN-20695	
RXN-20696	
NUCLEOSIDE-TRIPHOSPHATASE-RXN	EC-3.6.1.15
3.4.14.10-RXN	EC-3.4.14.10
3.6.3.43-RXN	EC-7.4.2.14
PRIBFAICARPISOM-RXN	EC-5.3.1.16
RXN0-2605	EC-3.1.11.5
RXN-9929	EC-1.3.98.1
3.4.24.40-RXN	EC-3.4.24.40
GKI-RXN	EC-2.7.1.165
RXN-20690	EC-1.11.1.28
RXN-19953	
RXN-12872	
RXN-19954	
RXN-17883	
RXN-12869	
RXN-10981	
RXN-20689	
RXN-17882	
RXN-12440	EC-1.11.1.11
RXN-22603	
RXN-14290	
RXN-14883	
RXN-14501	
RXN-21400	
RXN-14808	
RXN-15139	
RXN-11410	
RXN-9560	
RXN0-7080	
RXN-22317	
RXN-22349	
RXN-9559	
RXN-10851	
RXN-6425	
HOMOSERDEHYDROG-RXN	EC-1.1.1.3
RXN-12876	
GLUCONATE-5-DEHYDROGENASE-RXN	EC-1.1.1.69
RXN-11409	
3.2.2.10-RXN	EC-3.2.2.10
RXN-22348	
RXN-12862	
RXN-14065	EC-3.2.2.10
RXN-12861	
RXN-3521	
RXN-19051	EC-4.99.1.12
5.4.99.16-RXN	EC-5.4.99.16
RXN-17518	EC-4.99.1.9
PROTOHEMEFERROCHELAT-RXN	EC-4.98.1.1
RXN-19341	
RXN0-5181	EC-3.2.1.1
ALPHA-AMYL-RXN	EC-3.2.1.1
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
DIHYDROPYRIMIDINASE-RXN	EC-3.5.2.2
3.2.1.1-RXN	EC-3.2.1.1
RXN-11211	EC-3.5.2.2
RXN-1823	EC-3.2.1.1
RXN-22604	
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	EC-2.5.1.49
RXN-18364	
RXN-11217	EC-3.5.2.2
RXN-4821	EC-3.5.99
RXN-8992	EC-2.5.1.90
RXN-14904	
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
RXN-17809	EC-4.6.1.17
RXN0-7187	
ACETYLHOMOSER-CYS-RXN	EC-2.5.1.49
RXN-9922	
GLURS-RXN	EC-6.1.1.17
RXN-18031	
TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-2.6.1.1	EC-2.6.1.27
RXN-22327	
PYRIMSYN1-RXN	EC-4.1.99.17
ASPARAGINE--TRNA-LIGASE-RXN	EC-6.1.1.22
RXN-10814	EC-2.6.1.1	EC-2.6.1.57	EC-2.6.1.27
RXN-12149	
RXN-18448	EC-6.2.1.1
RXN-22319	
RXN0-1342	EC-2.4.99.17
RXN-6423	
ABC-27-RXN	EC-7.3.2.1
RXN-12541	
AMYLOSUCRASE-RXN	EC-2.4.1.4
RXN-22315	
RXN-22326	EC-7.3.2.1
RXN-22388	
ACETATE--COA-LIGASE-RXN	EC-6.2.1.1
RXN-11811	
RXN-9935	EC-2.4.1.246
RXN-20459	
RXN-18447	EC-6.2.1.1
RXN-14409	
GLUTAMINESYN-RXN	EC-6.3.1.2
RXN-14812	
SUCROSE-PHOSPHATE-SYNTHASE-RXN	EC-2.4.1.14
RXN-8315	
GART-RXN	EC-2.1.2.2
RXN-14809	
RXN-18446	EC-6.2.1.1
RXN-12540	
RXN-11737	EC-2.6.1.1
RXN-14056	
R101-RXN	EC-2.6.1.76
RXN0-6452	
RXN-19915	EC-2.7.1.4
RXN2B4Q-66	EC-2.3.1.241
RXN-18819	
DALADALALIG-RXN	EC-6.3.2.4
RXN-14811	
RXN-3523	
RXN-15348	
RXN-22361	
RXN-22250	EC-2.3.1.241
RXN-14882	
RXN0-6678	
RXN-16454	
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
RXN-22318	
3.5.1.87-RXN	EC-3.5.1.87
RXN-14500	
FRUCTOKINASE-RXN	EC-2.7.1.4
RXN-14396	
RXN-11210	EC-3.5.1.6
RXN-17881	
ASPAMINOTRANS-RXN	EC-2.6.1.1
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	EC-5.1.3.15
3.2.1.141-RXN	EC-3.2.1.141
RXN-22606	
RXN-14910	EC-3.5.4.40
RXN-22324	
RXN-13697	EC-2.6.1.1
RXN-22360	
RXN-22488	EC-2.3.1.241
RXN-22643	
BETA-UREIDOPROPIONASE-RXN	EC-3.5.1.6
RXN-16765	
LAUROYLACYLTRAN-RXN	EC-2.3.1.241
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.1	EC-2.6.1.57	EC-2.6.1.5	EC-2.6.1.27
RXN0-5189	EC-3.2.2.20
RXN-17753	
UREIDOGLYCOLATE-HYDROLASE-RXN	EC-3.5.1.116
RXN-22287	
RXN2DNV-6	EC-2.3.1.241
RXN-22605	
RXN-20792	EC-2.3.1.241
RXN-22337	
RXN-12895	EC-3.5.1.110
RXN-6081	
RXN-12896	
RXN-2961	EC-4.4.1.22
RXN0-305	EC-5.3.1.22
2.1.1.138-RXN	
RXN-11109	EC-5.6.2
PRODISULFREDUCT-A-RXN	
RXN2B4Q-56	EC-2.3.1.241
RXN-15356	
RXN-11193	EC-1.4.5.1
RXN-22286	
RXN-12894	EC-3.5.1.110
RXN-18032	
GLUCOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.47
RXN-22328	
RXN0-6460	
RXN-21230	
RXN0-5222	
RXN0-5305	
RXN-22238	EC-2.7.1.130
RXN-14515	
RXN-11196	EC-1.4.5.1
RXN-22323	
RXN-20784	EC-2.7.1.130
RXN-6424	
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
RXN-19022	
RXN-22485	EC-2.7.1.130
3.1.11.2-RXN	EC-3.1.11.2
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
LIPIDADISACCHARIDESYNTH-RXN	EC-2.4.1.182
RXN2B4Q-53	EC-2.7.1.130
RXN0-6721	
RXN2DNV-3	EC-2.7.1.130
RXN-22316	
RXN-20785	EC-2.4.1.182
RXN-18232	
R10-RXN	EC-4.1.2.43
RXN-17911	
TETRAACYLDISACC4KIN-RXN	EC-2.7.1.130
RXN-20900	
RXN-21000	
RXN2DNV-2	EC-2.4.1.182
RXN0-7188	
RXN-22237	EC-2.4.1.182
RIB5PISOM-RXN	EC-5.3.1.6
RXN-8899	
LYSINE-23-AMINOMUTASE-RXN	EC-5.4.3.2
RXN-14813	
RXN-18392	
PROTEIN-TYROSINE-PHOSPHATASE-RXN	EC-3.1.3.48
RXN-22484	EC-2.4.1.182
3.4.14.5-RXN	EC-3.4.14.5
RXN2B4Q-52	EC-2.4.1.182
3.4.21.92-RXN	EC-3.4.21.92
RXN-7719	EC-1.8.1.4
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	EC-1.3.1.43
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
1.8.1.4-RXN	EC-1.8.1.4
MUCONATE-CYCLOISOMERASE-RXN	EC-5.5.1.1
PREPHENATEDEHYDROG-RXN	EC-1.3.1.12
RXN0-1132	EC-1.8.1.4
ENOYL-ACP-REDUCT-NADH-RXN	EC-1.3.1.9
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
RXN-7716	EC-1.8.1.4
RXN0-5228	EC-5.1.1.20
RHAMNULOKIN-RXN	EC-2.7.1.5
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
RXN-8629	EC-1.8.1.4
RXN0-6366	EC-2.8.4.4
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
3.2.1.83-RXN	EC-3.2.1.83
RXN-21019	
THRESYN-RXN	EC-4.2.3.1
MCPMETEST-RXN	EC-3.1.1.61
CHER-RXN	EC-2.1.1.80
2.1.1.21-RXN	EC-2.1.1.21
RXN-12902	EC-2.1.1.21
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	EC-5.4.99.12
SUCCSEMIALDDEHYDROG-RXN	EC-1.2.1.79
RXN-8182	EC-1.2.1.20
UDPNACETYLMURAMATEDEHYDROG-RXN	EC-1.3.1.98
RXN0-5293	EC-1.2.1.16
3.5.1.26-RXN	EC-3.5.1.26
5.4.99.17-RXN	EC-5.4.99.17
RXN-4961	EC-4.2.1.129
RXN0-6575	EC-4.3.99.3
RXN0-3241	EC-3.4.19.5
RXN0-4022	EC-1.7.1.13
RXN-21711	EC-3.4.19.5
RXN-14372	EC-2.4.1.18
SULFITE-REDUCT-RXN	EC-1.8.1.2
3.4.19.5-RXN	EC-3.4.19.5
RXN-7710	EC-2.4.1.18
POLYPHOSPHATE-KINASE-RXN	EC-2.7.4.1
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
RXN8J2-140	EC-2.7.14.1
RXN-14371	EC-2.4.1.18
RXN0-5224	EC-4.2.1.1
RXN-7669	EC-2.4.1.18
3.5.4.27-RXN	EC-3.5.4.27
5.99.1.3-RXN	EC-5.6.2.2
RXN-11578	EC-2.1.1.170
MCHMBARK-RXN	EC-3.5.4.27
RXN-18777	EC-2.4.1.18
RXN-18574	EC-6.1.3.1
RXN-16632	EC-1.3.1.9
RXN-18573	EC-6.1.3.1
3.4.24.70-RXN	EC-3.4.24.70
3.4.15.5-RXN	EC-3.4.15.5
RXN-18572	EC-6.1.3.1
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
3.6.3.30-RXN	EC-7.2.2.7
RXN-18562	EC-6.1.3.1
RXN-18601	EC-1.1.1.409
ACETATEKIN-RXN	EC-2.7.2.15	EC-2.7.2.1
