#
#  antarctobacter_heliothermuscyc 1.0 Pathways link table generated on Sun Jun 25, 2023
#
PWY-5659	GDP-mannose biosynthesis	
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	
PWY-7118	chitin deacetylation	
PWY-7279	aerobic respiration II (cytochrome c) (yeast)	
PWY-5194	siroheme biosynthesis	
PWY0-1296	purine ribonucleosides degradation	
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY-2161	folate polyglutamylation	
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
PWY0-862	(5Z)-dodecenoate biosynthesis I	(5Z)-dodec-5-enoate biosynthesis I	<i>cis</i>-dodecenoate biosynthesis I
GLUCARDEG-PWY	<i>D</i>-glucarate degradation I	<i>D</i>-glucarate catabolism
PWY-5177	glutaryl-CoA degradation	
PWY-7179	purine deoxyribonucleosides degradation I	
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	octanoyl-ACP biosynthesis (mitochondria, yeast)
PWY-7807	glyphosate degradation III	glyphosate C-P lyase enzyme system
PWY0-1533	methylphosphonate degradation I	carbon-phosphorus lyase pathway
PWY-8136	NADPH repair (prokaryotes)	
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
LEUSYN-PWY	L-leucine biosynthesis	
TRPSYN-PWY	L-tryptophan biosynthesis	
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine biosynthesis from L-homoserine	L-methionine biosynthesis by transsulfuration
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	lipid-A-precursor biosynthesis (<i>E. coli</i>)
PWY-7664	oleate biosynthesis IV (anaerobic)	<i>cis</i>-7-hexadecenoate biosynthesis	<i>cis</i>-9-octadecenoate biosynthesis	(7<i>Z</i>)-hexadec-7-enoate biosynthesis	(9<i>Z</i>)-octadec-9-enoate biosynthesis	(7<i>Z</i>)-hexadecenoate biosynthesis	(9<i>Z</i>)-octadecenoate biosynthesis
VALSYN-PWY	L-valine biosynthesis	
PWY-6606	guanosine nucleotides degradation II	
PWY-6609	adenine and adenosine salvage III	adenosine nucleotides salvage III
PWY0-1319	CDP-diacylglycerol biosynthesis II	
PWY-5695	inosine 5'-phosphate degradation	IMP degradation	urate biosynthesis
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	purine ribonucleotide/ribonucleoside metabolism
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	protocatechuate branch of the 3-oxoadipate pathway	protocatechuate branch of the 3-ketoadipate pathway	protocatechuate branch of the &beta;-ketoadipate pathway	protocatechuate degradation via ortho-cleavage	protocatechuate degradation via the &beta;-ketoadipate pathway	protocatechuate 3,4-cleavage
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I	
HISTSYN-PWY	L-histidine biosynthesis	
PWY-5686	UMP biosynthesis I	uridine-5'-phosphate biosynthesis I	<i>de novo</i> biosynthesis of uridine-5'-phosphate I	<i>de novo</i> biosynthesis of uridine-5'-monophosphate I
PWY-5751	phenylethanol biosynthesis	phenyacetaldehyde biosynthesis	phenylacetaldehyde and phenylethanol biosynthesis
PWY-6938-1	NADH repair (prokaryotes)	
GALACTARDEG-PWY	D-galactarate degradation I	D-galactarate catabolism
PWY-7663	gondoate biosynthesis (anaerobic)	<i>cis</i>-11-icosenoate biosynthesis	(11<i>Z</i>)-icos-11-enoate biosynthesis	(11<i>Z</i>)-icosenoate biosynthesis	gondoic acid biosynthesis	11-eicosenoic acid biosynthesis
TYRFUMCAT-PWY	L-tyrosine degradation I	tyrosine fumarate catabolism
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
PWY-3781	aerobic respiration I (cytochrome c)	
PPGPPMET-PWY	ppGpp metabolism	guanosine 3'-diphosphate 5'-diphosphate biosynthesis	ppGpp biosynthesis
