BSI__PFLU_U_BE1__K141_68281_1-MONOMER	BSI__PFLU_U_BE1__K141_68281_1		NIL	
BSI__PFLU_U_BE1__K141_68281_2-MONOMER	BSI__PFLU_U_BE1__K141_68281_2		NIL	
BSI__PFLU_U_BE1__K141_68281_3-MONOMER	BSI__PFLU_U_BE1__K141_68281_3		NIL	
BSI__PFLU_U_BE1__K141_160970_1-MONOMER	BSI__PFLU_U_BE1__K141_160970_1		NIL	
BSI__PFLU_U_BE1__K141_68281_4-MONOMER	BSI__PFLU_U_BE1__K141_68281_4		NIL	
BSI__PFLU_U_BE1__K141_68281_5-MONOMER	BSI__PFLU_U_BE1__K141_68281_5		NIL	
BSI__PFLU_U_BE1__K141_160970_2-MONOMER	BSI__PFLU_U_BE1__K141_160970_2		NIL	
BSI__PFLU_U_BE1__K141_68281_6-MONOMER	BSI__PFLU_U_BE1__K141_68281_6		NIL	
BSI__PFLU_U_BE1__K141_160970_3-MONOMER	BSI__PFLU_U_BE1__K141_160970_3		NIL	
BSI__PFLU_U_BE1__K141_68281_7-MONOMER	BSI__PFLU_U_BE1__K141_68281_7		NIL	
BSI__PFLU_U_BE1__K141_160970_4-MONOMER	BSI__PFLU_U_BE1__K141_160970_4		NIL	
BSI__PFLU_U_BE1__K141_68281_8-MONOMER	BSI__PFLU_U_BE1__K141_68281_8		NIL	
BSI__PFLU_U_BE1__K141_160970_5-MONOMER	BSI__PFLU_U_BE1__K141_160970_5		NIL	
BSI__PFLU_U_BE1__K141_68281_9-MONOMER	BSI__PFLU_U_BE1__K141_68281_9		NIL	
BSI__PFLU_U_BE1__K141_160970_6-MONOMER	BSI__PFLU_U_BE1__K141_160970_6		NIL	
BSI__PFLU_U_BE1__K141_68281_10-MONOMER	BSI__PFLU_U_BE1__K141_68281_10		NIL	
BSI__PFLU_U_BE1__K141_160970_7-MONOMER	BSI__PFLU_U_BE1__K141_160970_7		NIL	
BSI__PFLU_U_BE1__K141_68281_11-MONOMER	BSI__PFLU_U_BE1__K141_68281_11		NIL	
BSI__PFLU_U_BE1__K141_160970_8-MONOMER	BSI__PFLU_U_BE1__K141_160970_8		NIL	
BSI__PFLU_U_BE1__K141_160970_9-MONOMER	BSI__PFLU_U_BE1__K141_160970_9		NIL	
BSI__PFLU_U_BE1__K141_6750_1-MONOMER	BSI__PFLU_U_BE1__K141_6750_1		NIL	
BSI__PFLU_U_BE1__K141_6750_2-MONOMER	BSI__PFLU_U_BE1__K141_6750_2		NIL	
BSI__PFLU_U_BE1__K141_6750_3-MONOMER	BSI__PFLU_U_BE1__K141_6750_3		NIL	
BSI__PFLU_U_BE1__K141_6750_4-MONOMER	BSI__PFLU_U_BE1__K141_6750_4		NIL	
BSI__PFLU_U_BE1__K141_6750_5-MONOMER	BSI__PFLU_U_BE1__K141_6750_5		NIL	
BSI__PFLU_U_BE1__K141_160727_1-MONOMER	BSI__PFLU_U_BE1__K141_160727_1		NIL	
BSI__PFLU_U_BE1__K141_6750_6-MONOMER	BSI__PFLU_U_BE1__K141_6750_6		NIL	
BSI__PFLU_U_BE1__K141_160727_2-MONOMER	BSI__PFLU_U_BE1__K141_160727_2		NIL	
BSI__PFLU_U_BE1__K141_160727_3-MONOMER	BSI__PFLU_U_BE1__K141_160727_3		NIL	
BSI__PFLU_U_BE1__K141_160727_4-MONOMER	BSI__PFLU_U_BE1__K141_160727_4		NIL	
BSI__PFLU_U_BE1__K141_67417_1-MONOMER	BSI__PFLU_U_BE1__K141_67417_1		NIL	
BSI__PFLU_U_BE1__K141_160641_1-MONOMER	BSI__PFLU_U_BE1__K141_160641_1		NIL	
BSI__PFLU_U_BE1__K141_67417_2-MONOMER	BSI__PFLU_U_BE1__K141_67417_2		NIL	
BSI__PFLU_U_BE1__K141_160641_2-MONOMER	BSI__PFLU_U_BE1__K141_160641_2		NIL	
BSI__PFLU_U_BE1__K141_67417_3-MONOMER	BSI__PFLU_U_BE1__K141_67417_3		NIL	
BSI__PFLU_U_BE1__K141_160641_3-MONOMER	BSI__PFLU_U_BE1__K141_160641_3		NIL	
BSI__PFLU_U_BE1__K141_67417_4-MONOMER	BSI__PFLU_U_BE1__K141_67417_4		NIL	
BSI__PFLU_U_BE1__K141_160641_4-MONOMER	BSI__PFLU_U_BE1__K141_160641_4		NIL	
BSI__PFLU_U_BE1__K141_67417_5-MONOMER	BSI__PFLU_U_BE1__K141_67417_5		NIL	
BSI__PFLU_U_BE1__K141_67417_6-MONOMER	BSI__PFLU_U_BE1__K141_67417_6		NIL	
BSI__PFLU_U_BE1__K141_67417_7-MONOMER	BSI__PFLU_U_BE1__K141_67417_7		NIL	
BSI__PFLU_U_BE1__K141_67417_8-MONOMER	BSI__PFLU_U_BE1__K141_67417_8		NIL	
BSI__PFLU_U_BE1__K141_67417_9-MONOMER	BSI__PFLU_U_BE1__K141_67417_9		NIL	
