#
#  antarctobacter_heliothermuscyc 1.0 Reactions link table generated on Sun Jun 25, 2023
#
3.1.26.5-RXN	EC-3.1.26.5
RXN0-6480	EC-3.1.26.5
3.4.17.19-RXN	EC-3.4.17.19
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
SUCCCOASYN-RXN	EC-6.2.1.5
2OXOGLUTDECARB-RXN	EC-1.2.4.2
RXN-14992	EC-2.1.1.297
RXN-11633	EC-2.1.1.182
RXN0-384	EC-3.6.1	EC-3.6.1.9
RXN-18597	EC-2.7.1.220
DCTP-PYROPHOSPHATASE-RXN	EC-3.6.1.9	EC-3.6.1.12	EC-3.6.1.65
RXN0-5107	EC-3.6.1.9
DUTP-PYROP-RXN	EC-3.6.1.23	EC-3.6.1.9
RXN-18596	EC-2.7.1.219
RXN-13037	EC-2.3.1.181
NUCLEOTIDE-PYROPHOSPHATASE-RXN	EC-3.6.1.9
RXN0-385	EC-3.6.1.9	EC-3.6.1
RXN-14139	EC-3.6.1.9
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
RXN0-947	EC-2.3.1.181
RXN0-383	EC-3.6.1.9	EC-3.6.1.65
RXN-22913	EC-1.1.1.169
RXN-14140	EC-3.6.1.9
RXN0-6382	EC-3.6.1.66	EC-3.6.1.9
RXN-11638	EC-2.1.1.199
DIHYDRODIPICSYN-RXN	EC-4.3.3.7
3.2.2.21-RXN	EC-3.2.2.21
RXN-18601	EC-1.1.1.409
RXN-22238	EC-2.7.1.130
RXN-18598	
RXN-18589	EC-4.1.1.104
RXN-20784	EC-2.7.1.130
RXN-13323	EC-2.5.1.32
RXN-22485	EC-2.7.1.130
2.5.1.32-RXN	
RXN-18600	EC-1.1.1.408
RXNARA-8002	
RXN2B4Q-53	EC-2.7.1.130
RXN-18599	
RXN-18588	EC-4.1.1.104
RXN2DNV-3	EC-2.7.1.130
TETRAACYLDISACC4KIN-RXN	EC-2.7.1.130
RXN-20718	EC-3.5.1.68
RXN-13179	EC-1.1.1.262
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	EC-3.5.1.68
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
RXN-14148	EC-1.1.1.369
6.3.2.10-RXN	EC-6.3.2.10
RXN-20717	EC-3.5.1.68
RXN-22608	EC-6.3.2.10
RXN0-5144	EC-2.1.1.61
MYO-INOSITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.18
RXN-8674	EC-1.4.3.19
PHOSNACMURPENTATRANS-RXN	EC-2.7.8.13
XYLONATE-DEHYDRATASE-RXN	EC-4.2.1.82
RXN-11347	EC-2.7.8.13
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
1.4.3.19-RXN	EC-1.4.3.3	EC-1.4.3.19
RXN-12614	
RXN-13329	
RXN-11028	EC-2.7.8.13
GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
RXN-8673	EC-1.4.3.19
RXN-11588	EC-2.1.1.185
RXN-11396	EC-3.6.1.55
RXN-17951	EC-1.4.3.19
RXN-8975	EC-2.7.8.13
RXN-22610	EC-2.7.8.13
RXN-8672	EC-1.4.3.19
DIHYDROOROT-RXN	EC-3.5.2.3
RXN0-7230	EC-1.1.99.1
RXN-17758	
OROPRIBTRANS-RXN	EC-2.4.2.10
CHD-RXN	EC-1.1.99.1
TRANS-RXN-324	EC-7.6.2.9
RXN0-4261	EC-5.6.2.3
RXN-8344	EC-2.7.7.75
RXN-11135	EC-5.6.2.4
RXN-8638	EC-7.6.2.9
RXN-17061	
2.1.1.74-RXN	EC-2.1.1.74
RXN-8752	EC-1.17.1.4
RXN0-2605	EC-3.1.11.5
RXN-8751	EC-1.17.1.4
HISTPRATPHYD-RXN	EC-3.6.1.31
HISTCYCLOHYD-RXN	EC-3.5.4.19
RXN-7682	EC-1.17.1.4
RXN-2043	EC-3.2.1.4
RXN0-901	EC-1.17.1.4
RXN-16614	EC-5.3.3.14
GLYC3PDEHYDROG-RXN	EC-1.1.5.3
5.3.3.14-RXN	EC-5.3.3.14
COBINPGUANYLYLTRANS-RXN	EC-2.7.7.62
RXN-8753	EC-1.17.1.4
RXN-14063	EC-2.7.1.156
RXN0-5258-Yeast	EC-1.1.5.3
TRANS-RXN-332	EC-7.5.2.7
RXN0-5244-yeast	
2.7.1.156-RXN	EC-2.7.1.156
ABC-42-RXN	EC-7.5.2.8
RXN-15740	EC-1.1.5.3
COBINAMIDEKIN-RXN	EC-2.7.1.156
RXN0-5254	
TRANS-RXN-333	EC-7.5.2.9
RXN-21405	EC-1.1.5.3
TRANS-RXN0-492	EC-7.5.2.9
RXN0-5260	EC-1.1.5.3
TRANS-RXN0-491	EC-7.5.2.9
RXN-15745	EC-1.1.5.3
RXN0-5257	
ABC-33-RXN	EC-7.5.2.13	EC-7.5.2.10
TRANS-RXN-334	EC-7.5.2.11
ABC-2-RXN	EC-7.5.2.13	EC-7.5.2.12
3.4.11.1-RXN	EC-3.4.11.9	EC-3.4.11.1
1.1.1.271-RXN	EC-1.1.1.271
FCLEPIM-RXN	
FCLREDUCT-RXN	
GDPMANDEHYDRA-RXN	EC-4.2.1.47
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34
RXN-20995	EC-1.3.1.34
ATPSYN-RXN	EC-7.1.2.2
RXN-20994	EC-1.3.1.34
RXN0-2161	EC-6.1.1.11
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
GLUCARDEHYDRA-RXN	EC-4.2.1.40
RXN-11598	EC-2.1.1.193
4.1.2.28-RXN	EC-4.1.2.28
RXN-969	EC-1.1.3.15
3.5.4.22-RXN	EC-3.5.4.22
S-2-HYDROXY-ACID-OXIDASE-RXN	EC-1.1.3.15
RXN-20406	EC-6.3.2.2
RXN-20400	EC-6.3.2.2
GLUTCYSLIG-RXN	EC-6.3.2.2
RXN-19609	
RXN-19612	
1.6.4.4-RXN	EC-1.8.1.8
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	EC-2.1.1.37
PROTEIN-KINASE-RXN	EC-2.7.12.1	EC-2.7.11.12	EC-2.7.11.17	EC-2.7.11.1	EC-2.7.11.13	EC-2.7.11.22	EC-2.7.11.21
RXN0-2142	EC-1.1.1.100
RXN-9514	EC-1.1.1.100
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
RXN-15635	EC-2.1.2.11
CHOLINE-SULFATASE-RXN	EC-3.1.6.6
2-FUROYL-COA-DEHYDROGENASE-RXN	EC-1.3.99.8
THREDEHYD-RXN	EC-4.3.1.19
RXN-9524	EC-1.1.1.100
RXN-15122	
RXN-16626	EC-1.1.1.100
RXN-15121	
RXN-15123	EC-3.5.99.10
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
3.4.21.102-RXN	EC-3.4.21.102
L-ASPARTATE-OXID-RXN	EC-1.4.3.16
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.61
RXN-16616	EC-1.1.1.100
SAICARSYN-RXN	EC-6.3.2.6
CITTRANS-RXN	EC-2.8.3.10
RXN-16630	EC-1.1.1.100
FORMYLMETHIONINE-DEFORMYLASE-RXN	EC-3.5.1.31
RXN-14014	EC-1.17.1.8
2.8.3.10-RXN	EC-2.8.3.10
RXN-14178	EC-5.3.99.11
3-OXOACYL-ACP-REDUCT-RXN	EC-1.1.1.100
RXN-20401	EC-6.3.2.3
GLUTATHIONE-SYN-RXN	EC-6.3.2.3
HYDROXYPYRUVATE-REDUCTASE-RXN	EC-1.1.1.81
RXN-20407	EC-6.3.2.3
HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.8
RXN-19544	EC-4.4.1.13
RXN-9518	EC-1.1.1.100
ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3
RXN-16622	EC-1.1.1.100
RXN-19545	
45-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN	EC-4.1.1.55
GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8
5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN	EC-2.7.1.92
RXN-19547	EC-4.4.1.13
FORMATETHFLIG-RXN	EC-6.3.4.3
RXN-19546	
HOMSUCTRAN-RXN	EC-2.3.1.46
RXN-1981	EC-4.2.99.21
PDXJ-RXN	EC-2.6.99.2
DEOXYRIBOSE-P-ALD-RXN	EC-4.1.2.4
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
