#
#  candidatus_phaeomarinobacter_ectocarpicyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__PFLU_U_BE1__K141_62218_853			
BSI__PFLU_U_BE1__K141_62218_854			
BSI__PFLU_U_BE1__K141_62218_855			
BSI__PFLU_U_BE1__K141_62218_856			
BSI__PFLU_U_BE1__K141_62218_857			
BSI__PFLU_U_BE1__K141_62218_858			
BSI__PFLU_U_BE1__K141_62218_859		pleC	
BSI__PFLU_U_BE1__K141_62218_860		ppk2	
BSI__PFLU_U_BE1__K141_62218_861			
BSI__PFLU_U_BE1__K141_62218_862		sufE	
BSI__PFLU_U_BE1__K141_62218_863			
BSI__PFLU_U_BE1__K141_62218_864			
BSI__PFLU_U_BE1__K141_62218_865			
BSI__PFLU_U_BE1__K141_62218_866			
BSI__PFLU_U_BE1__K141_62218_867			
BSI__PFLU_U_BE1__K141_62218_868			
BSI__PFLU_U_BE1__K141_62218_869			
BSI__PFLU_U_BE1__K141_62218_870			
BSI__PFLU_U_BE1__K141_62218_871			
BSI__PFLU_U_BE1__K141_62218_872			
BSI__PFLU_U_BE1__K141_62218_873			
BSI__PFLU_U_BE1__K141_62218_874			
BSI__PFLU_U_BE1__K141_62218_875			
BSI__PFLU_U_BE1__K141_62218_876			
BSI__PFLU_U_BE1__K141_62218_877			
BSI__PFLU_U_BE1__K141_62218_878			
BSI__PFLU_U_BE1__K141_62218_879			
BSI__PFLU_U_BE1__K141_62218_880			
BSI__PFLU_U_BE1__K141_62218_881		MA20_06755	
BSI__PFLU_U_BE1__K141_62218_882			
BSI__PFLU_U_BE1__K141_62218_883			
BSI__PFLU_U_BE1__K141_62218_884			
BSI__PFLU_U_BE1__K141_62218_885		msrB	
BSI__PFLU_U_BE1__K141_62218_886		ptrB	
BSI__PFLU_U_BE1__K141_62218_887			
BSI__PFLU_U_BE1__K141_62218_888			
BSI__PFLU_U_BE1__K141_62218_889			
BSI__PFLU_U_BE1__K141_62218_890			
BSI__PFLU_U_BE1__K141_62218_891		MA20_17095	
BSI__PFLU_U_BE1__K141_62218_892			
BSI__PFLU_U_BE1__K141_62218_893		MA20_39710	
BSI__PFLU_U_BE1__K141_62218_894			
BSI__PFLU_U_BE1__K141_62218_895			
BSI__PFLU_U_BE1__K141_62218_896			
BSI__PFLU_U_BE1__K141_62218_897		MA20_20575	
BSI__PFLU_U_BE1__K141_62218_898			
BSI__PFLU_U_BE1__K141_62218_899			
BSI__PFLU_U_BE1__K141_62218_900		gcdH	
BSI__PFLU_U_BE1__K141_62218_901			
BSI__PFLU_U_BE1__K141_62218_902			
BSI__PFLU_U_BE1__K141_62218_903			
BSI__PFLU_U_BE1__K141_62218_904			
BSI__PFLU_U_BE1__K141_62218_905			
BSI__PFLU_U_BE1__K141_62218_906			
BSI__PFLU_U_BE1__K141_62218_907		MA20_17565	
BSI__PFLU_U_BE1__K141_62218_908			
BSI__PFLU_U_BE1__K141_62218_909			
BSI__PFLU_U_BE1__K141_62218_910			
BSI__PFLU_U_BE1__K141_62218_911		mobA	
BSI__PFLU_U_BE1__K141_62218_912			
BSI__PFLU_U_BE1__K141_62218_913			
BSI__PFLU_U_BE1__K141_62218_914			
BSI__PFLU_U_BE1__K141_62218_915			
BSI__PFLU_U_BE1__K141_62218_916			
BSI__PFLU_U_BE1__K141_62218_917			
BSI__PFLU_U_BE1__K141_62218_918			
BSI__PFLU_U_BE1__K141_62218_919			
BSI__PFLU_U_BE1__K141_62218_920			
BSI__PFLU_U_BE1__K141_62218_921			
BSI__PFLU_U_BE1__K141_62218_922			
BSI__PFLU_U_BE1__K141_62218_923			
BSI__PFLU_U_BE1__K141_62218_924			
BSI__PFLU_U_BE1__K141_62218_925			
BSI__PFLU_U_BE1__K141_62218_926			
BSI__PFLU_U_BE1__K141_62218_927			
BSI__PFLU_U_BE1__K141_62218_928			
BSI__PFLU_U_BE1__K141_62218_929			
BSI__PFLU_U_BE1__K141_62218_930			
BSI__PFLU_U_BE1__K141_62218_931			
BSI__PFLU_U_BE1__K141_62218_932			
BSI__PFLU_U_BE1__K141_62218_933			
BSI__PFLU_U_BE1__K141_62218_934			
BSI__PFLU_U_BE1__K141_62218_935			
BSI__PFLU_U_BE1__K141_62218_936			
BSI__PFLU_U_BE1__K141_62218_937			
BSI__PFLU_U_BE1__K141_62218_938			
BSI__PFLU_U_BE1__K141_62218_939			
BSI__PFLU_U_BE1__K141_62218_940			
BSI__PFLU_U_BE1__K141_62218_941			
BSI__PFLU_U_BE1__K141_62218_942			
BSI__PFLU_U_BE1__K141_62218_943			
BSI__PFLU_U_BE1__K141_62218_944			
BSI__PFLU_U_BE1__K141_62218_945			
BSI__PFLU_U_BE1__K141_62218_946			
BSI__PFLU_U_BE1__K141_62218_947			
BSI__PFLU_U_BE1__K141_62218_948			
BSI__PFLU_U_BE1__K141_62218_949			
BSI__PFLU_U_BE1__K141_62218_950			
BSI__PFLU_U_BE1__K141_62218_951			
BSI__PFLU_U_BE1__K141_62218_952		vioB	
BSI__PFLU_U_BE1__K141_62218_953			
BSI__PFLU_U_BE1__K141_62218_954			
BSI__PFLU_U_BE1__K141_62218_955			
BSI__PFLU_U_BE1__K141_62218_956			
BSI__PFLU_U_BE1__K141_62218_957			
BSI__PFLU_U_BE1__K141_62218_958			
BSI__PFLU_U_BE1__K141_62218_959			
BSI__PFLU_U_BE1__K141_62218_960			
BSI__PFLU_U_BE1__K141_62218_961		MA20_07390	
BSI__PFLU_U_BE1__K141_62218_962			
