BSI__PFLU_U_BE1__K141_101439_316-MONOMER	BSI__PFLU_U_BE1__K141_101439_316		NIL	
BSI__PFLU_U_BE1__K141_101439_317-MONOMER	BSI__PFLU_U_BE1__K141_101439_317		NIL	
BSI__PFLU_U_BE1__K141_101439_318-MONOMER	BSI__PFLU_U_BE1__K141_101439_318		NIL	
BSI__PFLU_U_BE1__K141_101439_319-MONOMER	BSI__PFLU_U_BE1__K141_101439_319		NIL	
BSI__PFLU_U_BE1__K141_101439_320-MONOMER	BSI__PFLU_U_BE1__K141_101439_320		NIL	
BSI__PFLU_U_BE1__K141_101439_321-MONOMER	BSI__PFLU_U_BE1__K141_101439_321		NIL	
BSI__PFLU_U_BE1__K141_101439_322-MONOMER	BSI__PFLU_U_BE1__K141_101439_322		NIL	
BSI__PFLU_U_BE1__K141_101439_323-MONOMER	BSI__PFLU_U_BE1__K141_101439_323		NIL	
BSI__PFLU_U_BE1__K141_101439_324-MONOMER	BSI__PFLU_U_BE1__K141_101439_324		NIL	
BSI__PFLU_U_BE1__K141_101439_325-MONOMER	BSI__PFLU_U_BE1__K141_101439_325		NIL	
BSI__PFLU_U_BE1__K141_101439_326-MONOMER	BSI__PFLU_U_BE1__K141_101439_326		NIL	
BSI__PFLU_U_BE1__K141_101439_327-MONOMER	BSI__PFLU_U_BE1__K141_101439_327		NIL	
BSI__PFLU_U_BE1__K141_101439_328-MONOMER	BSI__PFLU_U_BE1__K141_101439_328		NIL	
BSI__PFLU_U_BE1__K141_101439_329-MONOMER	BSI__PFLU_U_BE1__K141_101439_329		NIL	
BSI__PFLU_U_BE1__K141_101439_330-MONOMER	BSI__PFLU_U_BE1__K141_101439_330		NIL	
BSI__PFLU_U_BE1__K141_101439_331-MONOMER	BSI__PFLU_U_BE1__K141_101439_331		NIL	
BSI__PFLU_U_BE1__K141_101439_332-MONOMER	BSI__PFLU_U_BE1__K141_101439_332		NIL	
BSI__PFLU_U_BE1__K141_101439_333-MONOMER	BSI__PFLU_U_BE1__K141_101439_333		NIL	
BSI__PFLU_U_BE1__K141_101439_334-MONOMER	BSI__PFLU_U_BE1__K141_101439_334		NIL	
BSI__PFLU_U_BE1__K141_101439_335-MONOMER	BSI__PFLU_U_BE1__K141_101439_335		NIL	
BSI__PFLU_U_BE1__K141_101439_336-MONOMER	BSI__PFLU_U_BE1__K141_101439_336		NIL	
BSI__PFLU_U_BE1__K141_101439_337-MONOMER	BSI__PFLU_U_BE1__K141_101439_337		NIL	
BSI__PFLU_U_BE1__K141_101439_338-MONOMER	BSI__PFLU_U_BE1__K141_101439_338		NIL	
BSI__PFLU_U_BE1__K141_101439_339-MONOMER	BSI__PFLU_U_BE1__K141_101439_339		NIL	
BSI__PFLU_U_BE1__K141_101439_340-MONOMER	BSI__PFLU_U_BE1__K141_101439_340		NIL	
BSI__PFLU_U_BE1__K141_101439_341-MONOMER	BSI__PFLU_U_BE1__K141_101439_341		NIL	
BSI__PFLU_U_BE1__K141_101439_342-MONOMER	BSI__PFLU_U_BE1__K141_101439_342		NIL	
