# 
#
# Authors:
#
# Please see the license agreement regarding the use of and distribution of this file.
# The format of this file is defined at http://bioinformatics.ai.sri.com/ptools/flatfile-format.html .
#
# Filename: /scratch/clucas/ptools-local/pgdbs/user/rhodopirellula_europaea_6ccyc/1.0/data/genes.dat
#
# Organism: cellular organisms
# Database: NIL
# Version: 1.0
# Date and time generated: June 25, 2023, 18:34:08
#
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_178
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_178
CENTISOME-POSITION - 92.64985    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 251952
PRODUCT - BSI__CLIN_U_DA1__K141_117963_178-MONOMER
RIGHT-END-POSITION - 253673
SYNONYMS - _Clin_U_DA1__k141_117963_178
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_179
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_179
CENTISOME-POSITION - 93.329414    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 253800
PRODUCT - BSI__CLIN_U_DA1__K141_117963_179-MONOMER
RIGHT-END-POSITION - 254660
SYNONYMS - _Clin_U_DA1__k141_117963_179
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_180
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_180
CENTISOME-POSITION - 93.65118    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 254675
PRODUCT - BSI__CLIN_U_DA1__K141_117963_180-MONOMER
RIGHT-END-POSITION - 254827
SYNONYMS - _Clin_U_DA1__k141_117963_180
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_181
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_181
CENTISOME-POSITION - 93.712585    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 254842
PRODUCT - BSI__CLIN_U_DA1__K141_117963_181-MONOMER
RIGHT-END-POSITION - 255825
SYNONYMS - _Clin_U_DA1__k141_117963_181
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_182
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_182
CENTISOME-POSITION - 94.21049    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 256196
PRODUCT - BSI__CLIN_U_DA1__K141_117963_182-MONOMER
RIGHT-END-POSITION - 256660
SYNONYMS - _Clin_U_DA1__k141_117963_182
TRANSCRIPTION-DIRECTION - +
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_183
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_183
CENTISOME-POSITION - 94.393616    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 256694
PRODUCT - BSI__CLIN_U_DA1__K141_117963_183-MONOMER
RIGHT-END-POSITION - 258049
SYNONYMS - _Clin_U_DA1__k141_117963_183
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_184
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_184
CENTISOME-POSITION - 94.890785    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 258046
PRODUCT - BSI__CLIN_U_DA1__K141_117963_184-MONOMER
RIGHT-END-POSITION - 260151
SYNONYMS - _Clin_U_DA1__k141_117963_184
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_185
TYPES - Unclassified-Genes
COMMON-NAME - CP_1016
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_185
CENTISOME-POSITION - 95.73472    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 260341
PRODUCT - BSI__CLIN_U_DA1__K141_117963_185-MONOMER
RIGHT-END-POSITION - 261558
SYNONYMS - _Clin_U_DA1__k141_117963_185
TRANSCRIPTION-DIRECTION - +
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_186
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_186
CENTISOME-POSITION - 96.20689    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 261625
PRODUCT - BSI__CLIN_U_DA1__K141_117963_186-MONOMER
RIGHT-END-POSITION - 262518
SYNONYMS - _Clin_U_DA1__k141_117963_186
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_187
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_187
CENTISOME-POSITION - 96.66765    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 262878
PRODUCT - BSI__CLIN_U_DA1__K141_117963_187-MONOMER
RIGHT-END-POSITION - 264593
SYNONYMS - _Clin_U_DA1__k141_117963_187
TRANSCRIPTION-DIRECTION - +
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_188
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_188
CENTISOME-POSITION - 97.297195    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 264590
PRODUCT - BSI__CLIN_U_DA1__K141_117963_188-MONOMER
RIGHT-END-POSITION - 267580
SYNONYMS - _Clin_U_DA1__k141_117963_188
TRANSCRIPTION-DIRECTION - +
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_189
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_189
CENTISOME-POSITION - 98.40002    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 267589
PRODUCT - BSI__CLIN_U_DA1__K141_117963_189-MONOMER
RIGHT-END-POSITION - 268209
SYNONYMS - _Clin_U_DA1__k141_117963_189
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_190
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_190
CENTISOME-POSITION - 98.66993    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 268323
PRODUCT - BSI__CLIN_U_DA1__K141_117963_190-MONOMER
RIGHT-END-POSITION - 269162
SYNONYMS - _Clin_U_DA1__k141_117963_190
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_117963_191
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_117963_191
CENTISOME-POSITION - 99.01670    
COMPONENT-OF - BSI__Clin_U_DA1__k141_117963-3
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 269266
PRODUCT - BSI__CLIN_U_DA1__K141_117963_191-MONOMER
RIGHT-END-POSITION - 271728
SYNONYMS - _Clin_U_DA1__k141_117963_191
TRANSCRIPTION-DIRECTION - +
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_194032_1
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_194032_1
CENTISOME-POSITION - 3.90828040000e-4
COMPONENT-OF - BSI__Clin_U_DA1__k141_194032-0
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 1
PRODUCT - BSI__CLIN_U_DA1__K141_194032_1-MONOMER
RIGHT-END-POSITION - 183
SYNONYMS - _Clin_U_DA1__k141_194032_1
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_194032_2
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_194032_2
CENTISOME-POSITION - 0.16532026    
COMPONENT-OF - BSI__Clin_U_DA1__k141_194032-0
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 423
PRODUCT - BSI__CLIN_U_DA1__K141_194032_2-MONOMER
RIGHT-END-POSITION - 1457
SYNONYMS - _Clin_U_DA1__k141_194032_2
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_194032_3
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_194032_3
CENTISOME-POSITION - 0.57178146    
COMPONENT-OF - BSI__Clin_U_DA1__k141_194032-0
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 1463
PRODUCT - BSI__CLIN_U_DA1__K141_194032_3-MONOMER
RIGHT-END-POSITION - 2479
SYNONYMS - _Clin_U_DA1__k141_194032_3
TRANSCRIPTION-DIRECTION - -
//
UNIQUE-ID - BSI__CLIN_U_DA1__K141_194032_4
TYPES - Unclassified-Genes
ACCESSION-1 - BSI__Clin_U_DA1__k141_194032_4
CENTISOME-POSITION - 1.041166    
COMPONENT-OF - BSI__Clin_U_DA1__k141_194032-0
INSTANCE-NAME-TEMPLATE - G-*
LEFT-END-POSITION - 2664
PRODUCT - BSI__CLIN_U_DA1__K141_194032_4-MONOMER
RIGHT-END-POSITION - 3221
