BSI__CLIN_U_DA1__K141_194361_21-MONOMER	BSI__CLIN_U_DA1__K141_194361_21		NIL	
BSI__CLIN_U_DA1__K141_137024_573-MONOMER	BSI__CLIN_U_DA1__K141_137024_573		NIL	
BSI__CLIN_U_DA1__K141_194361_22-MONOMER	BSI__CLIN_U_DA1__K141_194361_22		NIL	
BSI__CLIN_U_DA1__K141_137024_574-MONOMER	BSI__CLIN_U_DA1__K141_137024_574		NIL	
BSI__CLIN_U_DA1__K141_194361_23-MONOMER	BSI__CLIN_U_DA1__K141_194361_23		NIL	
BSI__CLIN_U_DA1__K141_137024_575-MONOMER	BSI__CLIN_U_DA1__K141_137024_575		NIL	
BSI__CLIN_U_DA1__K141_194361_24-MONOMER	BSI__CLIN_U_DA1__K141_194361_24		NIL	
BSI__CLIN_U_DA1__K141_137024_576-MONOMER	BSI__CLIN_U_DA1__K141_137024_576		NIL	
BSI__CLIN_U_DA1__K141_194361_25-MONOMER	BSI__CLIN_U_DA1__K141_194361_25		NIL	
BSI__CLIN_U_DA1__K141_137024_577-MONOMER	BSI__CLIN_U_DA1__K141_137024_577		NIL	
BSI__CLIN_U_DA1__K141_194361_26-MONOMER	BSI__CLIN_U_DA1__K141_194361_26		NIL	
BSI__CLIN_U_DA1__K141_137024_578-MONOMER	BSI__CLIN_U_DA1__K141_137024_578		NIL	
BSI__CLIN_U_DA1__K141_194361_27-MONOMER	BSI__CLIN_U_DA1__K141_194361_27		NIL	
BSI__CLIN_U_DA1__K141_137024_579-MONOMER	BSI__CLIN_U_DA1__K141_137024_579		NIL	
BSI__CLIN_U_DA1__K141_194361_28-MONOMER	BSI__CLIN_U_DA1__K141_194361_28		NIL	
BSI__CLIN_U_DA1__K141_137024_580-MONOMER	BSI__CLIN_U_DA1__K141_137024_580		NIL	
BSI__CLIN_U_DA1__K141_194361_29-MONOMER	BSI__CLIN_U_DA1__K141_194361_29		NIL	
BSI__CLIN_U_DA1__K141_137024_581-MONOMER	BSI__CLIN_U_DA1__K141_137024_581		NIL	
BSI__CLIN_U_DA1__K141_194361_30-MONOMER	BSI__CLIN_U_DA1__K141_194361_30		NIL	
BSI__CLIN_U_DA1__K141_137024_582-MONOMER	BSI__CLIN_U_DA1__K141_137024_582		NIL	
BSI__CLIN_U_DA1__K141_194361_31-MONOMER	BSI__CLIN_U_DA1__K141_194361_31		NIL	
BSI__CLIN_U_DA1__K141_137024_583-MONOMER	BSI__CLIN_U_DA1__K141_137024_583		NIL	
