#
#  antarctobacter_heliothermuscyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__PFLU_U_BE1__K141_161150_5			
BSI__PFLU_U_BE1__K141_68281_1		betA	
BSI__PFLU_U_BE1__K141_68281_2			
BSI__PFLU_U_BE1__K141_68281_3			
BSI__PFLU_U_BE1__K141_160970_1		rplV	
BSI__PFLU_U_BE1__K141_68281_4			
BSI__PFLU_U_BE1__K141_160970_2		rpsC	
BSI__PFLU_U_BE1__K141_68281_5			
BSI__PFLU_U_BE1__K141_160970_3		rplP	
BSI__PFLU_U_BE1__K141_68281_6			
BSI__PFLU_U_BE1__K141_160970_4			
BSI__PFLU_U_BE1__K141_68281_7			
BSI__PFLU_U_BE1__K141_160970_5			
BSI__PFLU_U_BE1__K141_68281_8			
BSI__PFLU_U_BE1__K141_160970_6			
BSI__PFLU_U_BE1__K141_68281_9			
BSI__PFLU_U_BE1__K141_160970_7			
BSI__PFLU_U_BE1__K141_68281_10			
BSI__PFLU_U_BE1__K141_160970_8		rpmC	
BSI__PFLU_U_BE1__K141_68281_11			
BSI__PFLU_U_BE1__K141_160970_9		rpsQ	
BSI__PFLU_U_BE1__K141_6750_1			
BSI__PFLU_U_BE1__K141_6750_2			
BSI__PFLU_U_BE1__K141_6750_3		MA20_30235	
BSI__PFLU_U_BE1__K141_160727_1			
BSI__PFLU_U_BE1__K141_6750_4			
BSI__PFLU_U_BE1__K141_160727_2			
BSI__PFLU_U_BE1__K141_6750_5			
BSI__PFLU_U_BE1__K141_160727_3			
BSI__PFLU_U_BE1__K141_6750_6			
BSI__PFLU_U_BE1__K141_160727_4			
BSI__PFLU_U_BE1__K141_160641_1			
BSI__PFLU_U_BE1__K141_160641_2			
BSI__PFLU_U_BE1__K141_160641_3			
BSI__PFLU_U_BE1__K141_160641_4			
BSI__PFLU_U_BE1__K141_67417_1			
BSI__PFLU_U_BE1__K141_67417_2		MA20_42330	
BSI__PFLU_U_BE1__K141_67417_3			
BSI__PFLU_U_BE1__K141_67417_4			
BSI__PFLU_U_BE1__K141_67417_5			
BSI__PFLU_U_BE1__K141_67417_6			
BSI__PFLU_U_BE1__K141_67417_7			
BSI__PFLU_U_BE1__K141_67417_8			
BSI__PFLU_U_BE1__K141_67417_9			
BSI__PFLU_U_BE1__K141_67417_10			
BSI__PFLU_U_BE1__K141_160104_1			
BSI__PFLU_U_BE1__K141_160104_2		cycH	
BSI__PFLU_U_BE1__K141_160104_3		ruvX	
BSI__PFLU_U_BE1__K141_160104_4			
BSI__PFLU_U_BE1__K141_66774_1			
BSI__PFLU_U_BE1__K141_66774_2			
BSI__PFLU_U_BE1__K141_66774_3			
BSI__PFLU_U_BE1__K141_160042_1			
BSI__PFLU_U_BE1__K141_66774_4		hndI	
BSI__PFLU_U_BE1__K141_160042_2			
BSI__PFLU_U_BE1__K141_66774_5		yadH	
BSI__PFLU_U_BE1__K141_160042_3			
BSI__PFLU_U_BE1__K141_66774_6			
BSI__PFLU_U_BE1__K141_160042_4			
BSI__PFLU_U_BE1__K141_66774_7			
BSI__PFLU_U_BE1__K141_160042_5			
BSI__PFLU_U_BE1__K141_66774_8			
BSI__PFLU_U_BE1__K141_66741_1		murA	
BSI__PFLU_U_BE1__K141_66741_2		MA20_21100	
BSI__PFLU_U_BE1__K141_66741_3		hisD	
BSI__PFLU_U_BE1__K141_159296_1			
BSI__PFLU_U_BE1__K141_159296_2			
BSI__PFLU_U_BE1__K141_159296_3			
BSI__PFLU_U_BE1__K141_159296_4		MA20_09680	
BSI__PFLU_U_BE1__K141_159296_5			
BSI__PFLU_U_BE1__K141_159296_6			
BSI__PFLU_U_BE1__K141_159296_7		rpiA	
BSI__PFLU_U_BE1__K141_159296_8			
BSI__PFLU_U_BE1__K141_159296_9			
BSI__PFLU_U_BE1__K141_66348_1		gyrB	
BSI__PFLU_U_BE1__K141_66348_2			
BSI__PFLU_U_BE1__K141_66348_3			
BSI__PFLU_U_BE1__K141_66348_4		icd	
BSI__PFLU_U_BE1__K141_159284_1		MA20_43170	
BSI__PFLU_U_BE1__K141_66348_5			
BSI__PFLU_U_BE1__K141_159284_2			
BSI__PFLU_U_BE1__K141_66348_6			
BSI__PFLU_U_BE1__K141_66348_7			
BSI__PFLU_U_BE1__K141_66348_8			
BSI__PFLU_U_BE1__K141_66348_9			
BSI__PFLU_U_BE1__K141_66348_10			
BSI__PFLU_U_BE1__K141_158705_1			
BSI__PFLU_U_BE1__K141_158705_2			
BSI__PFLU_U_BE1__K141_158705_3		tviD	
BSI__PFLU_U_BE1__K141_66312_1			
BSI__PFLU_U_BE1__K141_66312_2			
BSI__PFLU_U_BE1__K141_66312_3			
BSI__PFLU_U_BE1__K141_66312_4			
BSI__PFLU_U_BE1__K141_158389_1			
BSI__PFLU_U_BE1__K141_158389_2			
BSI__PFLU_U_BE1__K141_158389_3			
BSI__PFLU_U_BE1__K141_158389_4			
BSI__PFLU_U_BE1__K141_158389_5		comF	
BSI__PFLU_U_BE1__K141_157648_1			
BSI__PFLU_U_BE1__K141_157648_2			
BSI__PFLU_U_BE1__K141_157648_3			
BSI__PFLU_U_BE1__K141_66192_1		lptB	
BSI__PFLU_U_BE1__K141_157648_4			
BSI__PFLU_U_BE1__K141_66192_2		hpf	
BSI__PFLU_U_BE1__K141_157648_5			
BSI__PFLU_U_BE1__K141_66192_3		ptsN	
BSI__PFLU_U_BE1__K141_157648_6			
BSI__PFLU_U_BE1__K141_66192_4			
BSI__PFLU_U_BE1__K141_157648_7			
BSI__PFLU_U_BE1__K141_66192_5			
BSI__PFLU_U_BE1__K141_66192_6			
BSI__PFLU_U_BE1__K141_66192_7			
BSI__PFLU_U_BE1__K141_156899_1			
BSI__PFLU_U_BE1__K141_156899_2		nirB	
BSI__PFLU_U_BE1__K141_156899_3		nasE	
BSI__PFLU_U_BE1__K141_156899_4		nasA	
BSI__PFLU_U_BE1__K141_156899_5			
BSI__PFLU_U_BE1__K141_66178_1		ureB	
BSI__PFLU_U_BE1__K141_66178_2			
BSI__PFLU_U_BE1__K141_66178_3			
BSI__PFLU_U_BE1__K141_66178_4		ureC	
BSI__PFLU_U_BE1__K141_66178_5			
BSI__PFLU_U_BE1__K141_66178_6		ureE	
BSI__PFLU_U_BE1__K141_66178_7		ureF	
BSI__PFLU_U_BE1__K141_66178_8		ureG	
BSI__PFLU_U_BE1__K141_66178_9			
BSI__PFLU_U_BE1__K141_66178_10			
BSI__PFLU_U_BE1__K141_156875_1			
BSI__PFLU_U_BE1__K141_66178_11			
BSI__PFLU_U_BE1__K141_156875_2			
BSI__PFLU_U_BE1__K141_66178_12			
BSI__PFLU_U_BE1__K141_156875_3			
BSI__PFLU_U_BE1__K141_156875_4			
BSI__PFLU_U_BE1__K141_156875_5			
BSI__PFLU_U_BE1__K141_156875_6			
BSI__PFLU_U_BE1__K141_156875_7			
BSI__PFLU_U_BE1__K141_156875_8			
BSI__PFLU_U_BE1__K141_156875_9			
BSI__PFLU_U_BE1__K141_6514_1			
BSI__PFLU_U_BE1__K141_6514_2			
BSI__PFLU_U_BE1__K141_6514_3			
BSI__PFLU_U_BE1__K141_6514_4			
BSI__PFLU_U_BE1__K141_6514_5			
BSI__PFLU_U_BE1__K141_64492_1			
BSI__PFLU_U_BE1__K141_64492_2		yvdD	
BSI__PFLU_U_BE1__K141_64492_3			
BSI__PFLU_U_BE1__K141_64492_4			
BSI__PFLU_U_BE1__K141_64492_5			
BSI__PFLU_U_BE1__K141_64492_6			
BSI__PFLU_U_BE1__K141_64492_7			
BSI__PFLU_U_BE1__K141_64492_8			
BSI__PFLU_U_BE1__K141_156726_1		tme	
BSI__PFLU_U_BE1__K141_64492_9			
BSI__PFLU_U_BE1__K141_156726_2		rbsK	
BSI__PFLU_U_BE1__K141_156726_3			
BSI__PFLU_U_BE1__K141_156726_4			
BSI__PFLU_U_BE1__K141_156726_5			
BSI__PFLU_U_BE1__K141_156726_6			
BSI__PFLU_U_BE1__K141_156726_7			
BSI__PFLU_U_BE1__K141_156726_8		ilvA	
BSI__PFLU_U_BE1__K141_156726_9			
BSI__PFLU_U_BE1__K141_156726_10			
BSI__PFLU_U_BE1__K141_156726_11			
BSI__PFLU_U_BE1__K141_156726_12			
BSI__PFLU_U_BE1__K141_156726_13		hslO	
BSI__PFLU_U_BE1__K141_156726_14		MA20_44635	
BSI__PFLU_U_BE1__K141_156726_15		pcnB	
BSI__PFLU_U_BE1__K141_156726_16		abcT3	
BSI__PFLU_U_BE1__K141_156726_17		abcT3	
BSI__PFLU_U_BE1__K141_64486_1			
BSI__PFLU_U_BE1__K141_156726_18		abcT3	
BSI__PFLU_U_BE1__K141_64486_2			
BSI__PFLU_U_BE1__K141_156726_19		rumA	
BSI__PFLU_U_BE1__K141_64486_3			
BSI__PFLU_U_BE1__K141_156726_20		ccaA	
BSI__PFLU_U_BE1__K141_64486_4			
BSI__PFLU_U_BE1__K141_156726_21			
BSI__PFLU_U_BE1__K141_64486_5			
BSI__PFLU_U_BE1__K141_64486_6			
BSI__PFLU_U_BE1__K141_64486_7			
BSI__PFLU_U_BE1__K141_6422_1			
BSI__PFLU_U_BE1__K141_156493_1			
BSI__PFLU_U_BE1__K141_6422_2			
BSI__PFLU_U_BE1__K141_156493_2			
BSI__PFLU_U_BE1__K141_6422_3			
BSI__PFLU_U_BE1__K141_156493_3			
BSI__PFLU_U_BE1__K141_6422_4			
BSI__PFLU_U_BE1__K141_156493_4		aceE	
BSI__PFLU_U_BE1__K141_6422_5			
BSI__PFLU_U_BE1__K141_156493_5		aceF	
BSI__PFLU_U_BE1__K141_6422_6			
BSI__PFLU_U_BE1__K141_156493_6			
BSI__PFLU_U_BE1__K141_6422_7			
BSI__PFLU_U_BE1__K141_156493_7			
BSI__PFLU_U_BE1__K141_6422_8			
BSI__PFLU_U_BE1__K141_156493_8			
BSI__PFLU_U_BE1__K141_6422_9			
BSI__PFLU_U_BE1__K141_156493_9			
BSI__PFLU_U_BE1__K141_6422_10		MA20_18305	
BSI__PFLU_U_BE1__K141_156493_10			
BSI__PFLU_U_BE1__K141_156493_11			
BSI__PFLU_U_BE1__K141_156493_12			
BSI__PFLU_U_BE1__K141_156493_13			
BSI__PFLU_U_BE1__K141_156493_14			
BSI__PFLU_U_BE1__K141_156493_15			
BSI__PFLU_U_BE1__K141_156493_16		pcaD	
BSI__PFLU_U_BE1__K141_63420_1			
BSI__PFLU_U_BE1__K141_63420_2			
BSI__PFLU_U_BE1__K141_63420_3			
BSI__PFLU_U_BE1__K141_63420_4			
BSI__PFLU_U_BE1__K141_63420_5			
BSI__PFLU_U_BE1__K141_63420_6			
BSI__PFLU_U_BE1__K141_63420_7			
BSI__PFLU_U_BE1__K141_63420_8			
BSI__PFLU_U_BE1__K141_156350_1			
BSI__PFLU_U_BE1__K141_156350_2			
BSI__PFLU_U_BE1__K141_156350_3			
BSI__PFLU_U_BE1__K141_156350_4			
BSI__PFLU_U_BE1__K141_156350_5			
BSI__PFLU_U_BE1__K141_156350_6			
BSI__PFLU_U_BE1__K141_156350_7			
BSI__PFLU_U_BE1__K141_63338_1		plsX	
BSI__PFLU_U_BE1__K141_63338_2		fabH	
BSI__PFLU_U_BE1__K141_63338_3		himA	
BSI__PFLU_U_BE1__K141_63338_4		merR	
BSI__PFLU_U_BE1__K141_156195_1			
BSI__PFLU_U_BE1__K141_63338_5		dcd	
BSI__PFLU_U_BE1__K141_156195_2			
BSI__PFLU_U_BE1__K141_63338_6			
BSI__PFLU_U_BE1__K141_156195_3			
